>>> bench-local

*** neotest: node
date:	Mon, 05 Mar 2018 14:33:01 +0200
xnode:	neotest@z6001.ivan.nexedi.com (2401:5180:0:6f::1 192.168.0.16)
uname:	Linux z6001-COMP-2784 4.13.0-36-generic #40-Ubuntu SMP Fri Feb 16 20:07:48 UTC 2018 x86_64 x86_64 x86_64 GNU/Linux
cpu:	Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz
cpu/[0-23]/freq: acpi-cpufreq/performance [2.66GHz - 2.66GHz]
cpu/[0-23]/idle: intel_idle/menu: POLL(0μs) C1(3μs) C1E(10μs) C3(20μs) C6(200μs)
WARNING: cpu: C-state exit-latency is max 200μs - up to that can add to networked and IPC request-reply latency
disk/sda: ADATA SU800       rev 8BS  119,2G
nic/enp1s0: Broadcom Limited NetXtreme BCM5764M Gigabit Ethernet PCIe rev 10
nic/enp1s0/features: rx tx sg tso !ufo gso gro !lro rxvlan txvlan !ntuple !rxhash ...
nic/enp1s0/coalesce: rxc: 20μs/5f/0μs-irq/5f-irq,  txc: 72μs/53f/0μs-irq/5f-irq
nic/enp1s0/status:   up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/enp1s0: RX coalesce latency is max 20μs - that will add to networked request-reply latency
sw/python:          Python 2.7.12
sw/go:              go version go1.10 linux/amd64
sw/sqlite:          sqlite 3.22.0 (py mod 2.6.0)
sw/mysqld:          mysqld  Ver 10.1.25-MariaDB-1 for debian-linux-gnu on x86_64 (Ubuntu 17.10)
sw/neo:             v1.8-1589-g7c21fb9
sw/zodb:            5.3.0
sw/zeo:             5.1.1
sw/mysqlclient:     1.3.12
sw/wendelin.core:   0.11

*** cpu:

node:	z6001
cluster:
Benchmarkpystone 1 116106 pystone/s	# POLL·0 C1·82 C1E·0 C3·20 C6·359
Benchmarkpystone 1 113708 pystone/s	# POLL·0 C1·61 C1E·1 C3·17 C6·327
Benchmarkpystone 1 113468 pystone/s	# POLL·0 C1·76 C1E·0 C3·21 C6·402
Benchmarkpystone 1 103554 pystone/s	# POLL·4 C1·85 C1E·4 C3·15 C6·338
Benchmarkpystone 1 113983 pystone/s	# POLL·2 C1·106 C1E·4 C3·10 C6·457
Benchmarkcrc32/go/1K 3000000	0.458 µs/op	# POLL·1 C1·179 C1E·114 C3·70 C6·995
Benchmarkcrc32/py/4K 198225	5.087 µs/op	# POLL·3 C1·88 C1E·1 C3·11 C6·426
Benchmarkcrc32/py/4K 198190	5.090 µs/op	# POLL·3 C1·77 C1E·3 C3·4 C6·480
Benchmarkcrc32/py/4K 197924	5.101 µs/op	# POLL·0 C1·92 C1E·2 C3·13 C6·397
Benchmarkcrc32/py/4K 197737	5.100 µs/op	# POLL·2 C1·66 C1E·3 C3·7 C6·419
Benchmarkcrc32/py/4K 198160	5.194 µs/op	# POLL·2 C1·92 C1E·0 C3·13 C6·391
Benchmarkcrc32/go/4K 1000000	1.723 µs/op	# POLL·3 C1·157 C1E·120 C3·89 C6·868
Benchmarkcrc32/go/4K 1000000	2.051 µs/op	# POLL·2 C1·172 C1E·118 C3·94 C6·954
Benchmarkcrc32/go/4K 1000000	1.721 µs/op	# POLL·1 C1·190 C1E·108 C3·98 C6·915
Benchmarkcrc32/go/4K 1000000	1.723 µs/op	# POLL·3 C1·142 C1E·129 C3·94 C6·868
Benchmarkcrc32/go/4K 1000000	1.723 µs/op	# POLL·1 C1·195 C1E·126 C3·72 C6·827
Benchmarkcrc32/py/2M 420	2831.468 µs/op	# POLL·0 C1·60 C1E·2 C3·20 C6·477
Benchmarkcrc32/py/2M 420	2831.022 µs/op	# POLL·0 C1·64 C1E·0 C3·13 C6·470
Benchmarkcrc32/py/2M 420	2831.622 µs/op	# POLL·2 C1·70 C1E·4 C3·10 C6·503
Benchmarkcrc32/py/2M 419	2832.646 µs/op	# POLL·1 C1·91 C1E·10 C3·30 C6·427
Benchmarkcrc32/py/2M 420	2831.041 µs/op	# POLL·0 C1·58 C1E·0 C3·27 C6·416
Benchmarkcrc32/go/2M 2000	864.157 µs/op	# POLL·1 C1·152 C1E·109 C3·66 C6·872
Benchmarkcrc32/go/2M 2000	864.201 µs/op	# POLL·0 C1·162 C1E·114 C3·61 C6·953
Benchmarkcrc32/go/2M 2000	975.552 µs/op	# POLL·2 C1·132 C1E·118 C3·60 C6·899
Benchmarkcrc32/go/2M 2000	864.734 µs/op	# POLL·0 C1·144 C1E·117 C3·73 C6·1153
Benchmarkcrc32/go/2M 2000	864.248 µs/op	# POLL·5 C1·191 C1E·146 C3·79 C6·1038
Benchmarksha1/py/1K 428008	2.729 µs/op	# POLL·3 C1·73 C1E·0 C3·13 C6·503
Benchmarksha1/py/1K 429800	2.707 µs/op	# POLL·2 C1·79 C1E·1 C3·13 C6·434
Benchmarksha1/py/1K 429505	2.709 µs/op	# POLL·2 C1·98 C1E·1 C3·15 C6·404
Benchmarksha1/py/1K 429505	2.709 µs/op	# POLL·0 C1·91 C1E·1 C3·18 C6·508
Benchmarksha1/py/1K 429632	2.714 µs/op	# POLL·0 C1·60 C1E·2 C3·17 C6·454
Benchmarksha1/go/1K 500000	2.595 µs/op	# POLL·6 C1·174 C1E·116 C3·75 C6·833
Benchmarksha1/go/1K 500000	2.595 µs/op	# POLL·3 C1·196 C1E·137 C3·73 C6·779
Benchmarksha1/go/1K 500000	2.594 µs/op	# POLL·3 C1·131 C1E·124 C3·89 C6·853
Benchmarksha1/go/1K 500000	2.647 µs/op	# POLL·1 C1·182 C1E·110 C3·98 C6·843
Benchmarksha1/go/1K 500000	2.595 µs/op	# POLL·2 C1·189 C1E·129 C3·97 C6·882
Benchmarksha1/py/4K 109472	22.420 µs/op	# POLL·2 C1·91 C1E·5 C3·43 C6·1024
Benchmarksha1/py/4K 116917	14.633 µs/op	# POLL·3 C1·58 C1E·5 C3·45 C6·716
Benchmarksha1/py/4K 116819	18.960 µs/op	# POLL·0 C1·59 C1E·3 C3·28 C6·888
Benchmarksha1/py/4K 116188	14.818 µs/op	# POLL·1 C1·83 C1E·2 C3·16 C6·528
Benchmarksha1/py/4K 115866	14.877 µs/op	# POLL·0 C1·59 C1E·2 C3·7 C6·599
Benchmarksha1/go/4K 200000	10.323 µs/op	# POLL·8 C1·175 C1E·147 C3·74 C6·991
Benchmarksha1/go/4K 200000	10.324 µs/op	# POLL·6 C1·187 C1E·132 C3·76 C6·948
Benchmarksha1/go/4K 200000	10.324 µs/op	# POLL·4 C1·219 C1E·132 C3·103 C6·1240
Benchmarksha1/go/4K 200000	11.095 µs/op	# POLL·1 C1·160 C1E·121 C3·53 C6·1043
Benchmarksha1/go/4K 200000	10.709 µs/op	# POLL·19 C1·193 C1E·131 C3·51 C6·945
Benchmarksha1/py/2M 238	5268.100 µs/op	# POLL·0 C1·83 C1E·4 C3·12 C6·458
Benchmarksha1/py/2M 238	5267.372 µs/op	# POLL·0 C1·69 C1E·0 C3·18 C6·378
Benchmarksha1/py/2M 237	5312.557 µs/op	# POLL·1 C1·109 C1E·1 C3·12 C6·432
Benchmarksha1/py/2M 238	5269.045 µs/op	# POLL·2 C1·84 C1E·9 C3·10 C6·477
Benchmarksha1/py/2M 236	5359.097 µs/op	# POLL·2 C1·86 C1E·2 C3·23 C6·621
Benchmarksha1/go/2M 300	5292.766 µs/op	# POLL·1 C1·195 C1E·81 C3·55 C6·955
Benchmarksha1/go/2M 300	5299.244 µs/op	# POLL·2 C1·153 C1E·102 C3·63 C6·1008
Benchmarksha1/go/2M 300	5297.348 µs/op	# POLL·3 C1·165 C1E·87 C3·53 C6·995
Benchmarksha1/go/2M 300	5299.771 µs/op	# POLL·2 C1·125 C1E·92 C3·77 C6·1096
Benchmarksha1/go/2M 300	5294.242 µs/op	# POLL·5 C1·159 C1E·102 C3·86 C6·1065
Benchmarkunzlib/py/null-1K 313572	4.048 µs/op	# POLL·0 C1·98 C1E·0 C3·16 C6·396
Benchmarkunzlib/py/null-1K 312028	4.118 µs/op	# POLL·0 C1·86 C1E·2 C3·12 C6·449
Benchmarkunzlib/py/null-1K 315666	4.000 µs/op	# POLL·0 C1·69 C1E·0 C3·14 C6·431
Benchmarkunzlib/py/null-1K 313769	4.060 µs/op	# POLL·2 C1·87 C1E·1 C3·9 C6·441
Benchmarkunzlib/py/null-1K 317118	3.972 µs/op	# POLL·0 C1·89 C1E·2 C3·15 C6·513
Benchmarkunzlib/go/null-1K 500000	3.505 µs/op	# POLL·5 C1·419 C1E·606 C3·182 C6·6151
Benchmarkunzlib/go/null-1K 500000	3.428 µs/op	# POLL·2 C1·316 C1E·537 C3·136 C6·6353
Benchmarkunzlib/go/null-1K 500000	3.521 µs/op	# POLL·3 C1·405 C1E·741 C3·163 C6·6220
Benchmarkunzlib/go/null-1K 500000	3.492 µs/op	# POLL·4 C1·349 C1E·443 C3·173 C6·6329
Benchmarkunzlib/go/null-1K 500000	3.438 µs/op	# POLL·3 C1·464 C1E·656 C3·129 C6·6350
Benchmarkunzlib/py/null-4K 80034	14.033 µs/op	# POLL·0 C1·96 C1E·3 C3·10 C6·390
Benchmarkunzlib/py/null-4K 79811	12.567 µs/op	# POLL·0 C1·77 C1E·0 C3·21 C6·430
Benchmarkunzlib/py/null-4K 79992	12.493 µs/op	# POLL·0 C1·83 C1E·2 C3·13 C6·489
Benchmarkunzlib/py/null-4K 79988	12.500 µs/op	# POLL·0 C1·61 C1E·4 C3·14 C6·413
Benchmarkunzlib/py/null-4K 80078	15.183 µs/op	# POLL·1 C1·84 C1E·1 C3·8 C6·531
Benchmarkunzlib/go/null-4K 100000	13.888 µs/op	# POLL·1 C1·320 C1E·572 C3·139 C6·5647
Benchmarkunzlib/go/null-4K 100000	13.817 µs/op	# POLL·2 C1·383 C1E·536 C3·180 C6·5653
Benchmarkunzlib/go/null-4K 100000	13.856 µs/op	# POLL·0 C1·290 C1E·601 C3·155 C6·5682
Benchmarkunzlib/go/null-4K 100000	13.803 µs/op	# POLL·1 C1·331 C1E·698 C3·139 C6·5485
Benchmarkunzlib/go/null-4K 100000	13.779 µs/op	# POLL·1 C1·330 C1E·603 C3·197 C6·5596
Benchmarkunzlib/py/null-2M 157	6551.283 µs/op	# POLL·1 C1·61 C1E·0 C3·22 C6·368
Benchmarkunzlib/py/null-2M 155	6631.760 µs/op	# POLL·1 C1·80 C1E·0 C3·18 C6·475
Benchmarkunzlib/py/null-2M 158	6497.208 µs/op	# POLL·0 C1·91 C1E·1 C3·14 C6·489
Benchmarkunzlib/py/null-2M 157	6573.673 µs/op	# POLL·2 C1·75 C1E·0 C3·16 C6·485
Benchmarkunzlib/py/null-2M 157	6567.496 µs/op	# POLL·0 C1·95 C1E·0 C3·11 C6·391
Benchmarkunzlib/go/null-2M 300	5496.643 µs/op	# POLL·49 C1·4920 C1E·7171 C3·697 C6·10351
Benchmarkunzlib/go/null-2M 300	5512.579 µs/op	# POLL·54 C1·4959 C1E·6887 C3·634 C6·10481
Benchmarkunzlib/go/null-2M 300	5502.896 µs/op	# POLL·56 C1·5578 C1E·6795 C3·614 C6·9742
Benchmarkunzlib/go/null-2M 300	5494.318 µs/op	# POLL·49 C1·4552 C1E·7133 C3·623 C6·10642
Benchmarkunzlib/go/null-2M 300	5985.350 µs/op	# POLL·51 C1·3991 C1E·7105 C3·640 C6·11191
Benchmarkunzlib/py/wczdata 33089	36.508 µs/op	# POLL·0 C1·73 C1E·1 C3·18 C6·436
Benchmarkunzlib/py/wczdata 33257	36.194 µs/op	# POLL·2 C1·100 C1E·0 C3·13 C6·448
Benchmarkunzlib/py/wczdata 33204	36.224 µs/op	# POLL·0 C1·95 C1E·0 C3·7 C6·380
Benchmarkunzlib/py/wczdata 32955	36.949 µs/op	# POLL·1 C1·98 C1E·0 C3·14 C6·544
Benchmarkunzlib/py/wczdata 33295	36.289 µs/op	# POLL·0 C1·73 C1E·0 C3·13 C6·492
Benchmarkunzlib/go/wczdata 50000	31.533 µs/op	# POLL·0 C1·293 C1E·461 C3·167 C6·4195
Benchmarkunzlib/go/wczdata 50000	31.473 µs/op	# POLL·3 C1·333 C1E·590 C3·136 C6·4092
Benchmarkunzlib/go/wczdata 50000	31.458 µs/op	# POLL·4 C1·431 C1E·542 C3·119 C6·4004
Benchmarkunzlib/go/wczdata 50000	31.379 µs/op	# POLL·3 C1·302 C1E·450 C3·115 C6·4096
Benchmarkunzlib/go/wczdata 50000	31.476 µs/op	# POLL·3 C1·324 C1E·510 C3·102 C6·4062
Benchmarkunzlib/py/prod1-avg 103683	18.414 µs/op	# POLL·1 C1·92 C1E·1 C3·12 C6·446
Benchmarkunzlib/py/prod1-avg 103986	18.298 µs/op	# POLL·0 C1·71 C1E·2 C3·15 C6·464
Benchmarkunzlib/py/prod1-avg 104190	18.439 µs/op	# POLL·0 C1·96 C1E·2 C3·10 C6·520
Benchmarkunzlib/py/prod1-avg 103047	18.557 µs/op	# POLL·2 C1·81 C1E·2 C3·18 C6·465
Benchmarkunzlib/py/prod1-avg 102450	18.989 µs/op	# POLL·0 C1·101 C1E·1 C3·7 C6·451
Benchmarkunzlib/go/prod1-avg 200000	9.934 µs/op	# POLL·2 C1·308 C1E·409 C3·145 C6·4254
Benchmarkunzlib/go/prod1-avg 200000	9.947 µs/op	# POLL·2 C1·319 C1E·392 C3·92 C6·4369
Benchmarkunzlib/go/prod1-avg 200000	9.943 µs/op	# POLL·2 C1·353 C1E·610 C3·113 C6·4282
Benchmarkunzlib/go/prod1-avg 200000	9.944 µs/op	# POLL·0 C1·337 C1E·400 C3·109 C6·4191
Benchmarkunzlib/go/prod1-avg 200000	10.001 µs/op	# POLL·2 C1·316 C1E·531 C3·91 C6·4207
Benchmarkunzlib/py/prod1-max 2484	486.742 µs/op	# POLL·3 C1·104 C1E·0 C3·13 C6·532
Benchmarkunzlib/py/prod1-max 2489	485.023 µs/op	# POLL·0 C1·76 C1E·2 C3·5 C6·518
Benchmarkunzlib/py/prod1-max 2482	485.146 µs/op	# POLL·4 C1·86 C1E·2 C3·7 C6·447
Benchmarkunzlib/py/prod1-max 2486	486.104 µs/op	# POLL·0 C1·69 C1E·2 C3·9 C6·551
Benchmarkunzlib/py/prod1-max 2478	488.119 µs/op	# POLL·0 C1·71 C1E·5 C3·16 C6·451
Benchmarkunzlib/go/prod1-max 3000	414.711 µs/op	# POLL·8 C1·1521 C1E·353 C3·70 C6·2861
Benchmarkunzlib/go/prod1-max 3000	416.933 µs/op	# POLL·0 C1·1649 C1E·319 C3·118 C6·2700
Benchmarkunzlib/go/prod1-max 3000	413.537 µs/op	# POLL·3 C1·1829 C1E·324 C3·80 C6·2608
Benchmarkunzlib/go/prod1-max 3000	431.638 µs/op	# POLL·1 C1·1386 C1E·282 C3·93 C6·2851
Benchmarkunzlib/go/prod1-max 3000	414.202 µs/op	# POLL·3 C1·1432 C1E·509 C3·136 C6·2875
node:	z6001
cluster:

*** disk: random direct (no kernel cache) 4K-read latency

--- . (ext4 /dev/sda1) ioping statistics ---
23.1 k requests completed in 2.96 s, 90.0 MiB read, 7.79 k iops, 30.4 MiB/s
generated 23.1 k requests in 3.00 s, 90.0 MiB, 7.68 k iops, 30.0 MiB/s
min/avg/max/mdev = 125.3 us / 128.4 us / 224.7 us / 2.12 us
Benchmarkdisk/randread/direct/4K-min 1 125.3 us/op
Benchmarkdisk/randread/direct/4K-avg 1 128.4 us/op
< 125.3 us	0	| 
< 128.1 us	11137	| ************************
< 130.9 us	11695	| *************************
< 133.7 us	66	| 
< 136.6 us	25	| 
< 139.4 us	5	| 
< 142.2 us	3	| 
< 145.0 us	3	| 
< 147.8 us	0	| 
< 150.7 us	2	| 
< 153.5 us	2	| 
< 156.3 us	1	| 
< 159.1 us	0	| 
< 161.9 us	2	| 
< 164.7 us	4	| 
< 167.6 us	1	| 
< 170.4 us	0	| 
< 173.2 us	0	| 
< 176.0 us	0	| 
< 178.8 us	0	| 
< 181.6 us	0	| 
<       +∞	4	| 
# POLL·262 C1·285024 C1E·156396 C3·127 C6·3099

--- . (ext4 /dev/sda1) ioping statistics ---
23.1 k requests completed in 2.96 s, 90.2 MiB read, 7.80 k iops, 30.5 MiB/s
generated 23.1 k requests in 3.00 s, 90.2 MiB, 7.70 k iops, 30.1 MiB/s
min/avg/max/mdev = 125.0 us / 128.1 us / 223.8 us / 2.32 us
Benchmarkdisk/randread/direct/4K-min 1 125.0 us/op
Benchmarkdisk/randread/direct/4K-avg 1 128.1 us/op
< 125.0 us	0	| 
< 128.3 us	12631	| ***************************
< 131.5 us	10265	| **********************
< 134.8 us	56	| 
< 138.1 us	9	| 
< 141.4 us	7	| 
< 144.6 us	2	| 
< 147.9 us	2	| 
< 151.2 us	2	| 
< 154.5 us	0	| 
< 157.7 us	2	| 
< 161.0 us	3	| 
< 164.3 us	1	| 
< 167.6 us	0	| 
< 170.8 us	0	| 
< 174.1 us	0	| 
< 177.4 us	1	| 
< 180.7 us	2	| 
< 183.9 us	0	| 
< 187.2 us	2	| 
< 190.5 us	2	| 
<       +∞	6	| 
# POLL·4 C1·23149 C1E·23 C3·58 C6·750

--- . (ext4 /dev/sda1) ioping statistics ---
23.1 k requests completed in 2.96 s, 90.1 MiB read, 7.79 k iops, 30.4 MiB/s
generated 23.1 k requests in 3.00 s, 90.1 MiB, 7.69 k iops, 30.0 MiB/s
min/avg/max/mdev = 125.1 us / 128.3 us / 224.6 us / 2.43 us
Benchmarkdisk/randread/direct/4K-min 1 125.1 us/op
Benchmarkdisk/randread/direct/4K-avg 1 128.3 us/op
< 127.1 us	3711	| ********
< 129.1 us	12745	| ***************************
< 131.2 us	6412	| *************
< 133.2 us	37	| 
< 135.3 us	25	| 
< 137.3 us	4	| 
< 139.4 us	2	| 
< 141.5 us	0	| 
< 143.5 us	3	| 
< 145.6 us	1	| 
< 147.6 us	1	| 
< 149.7 us	0	| 
< 151.7 us	3	| 
< 153.8 us	0	| 
< 155.9 us	0	| 
< 157.9 us	0	| 
< 160.0 us	0	| 
< 162.0 us	0	| 
< 164.1 us	0	| 
< 166.1 us	0	| 
< 168.2 us	0	| 
<       +∞	25	| 
# POLL·4 C1·23117 C1E·9 C3·46 C6·435

--- . (ext4 /dev/sda1) ioping statistics ---
17.9 k requests completed in 2.95 s, 69.8 MiB read, 6.04 k iops, 23.6 MiB/s
generated 17.9 k requests in 3.00 s, 69.8 MiB, 5.95 k iops, 23.3 MiB/s
min/avg/max/mdev = 126.2 us / 165.4 us / 858.1 us / 8.75 us
Benchmarkdisk/randread/direct/4K-min 1 126.2 us/op
Benchmarkdisk/randread/direct/4K-avg 1 165.4 us/op
< 126.2 us	0	| 
< 130.7 us	4	| 
< 135.1 us	3	| 
< 139.5 us	59	| 
< 143.9 us	52	| 
< 148.3 us	0	| 
< 152.7 us	61	| 
< 157.2 us	439	| *
< 161.6 us	667	| *
< 166.0 us	8603	| ************************
< 170.4 us	7532	| *********************
< 174.8 us	234	| 
< 179.2 us	27	| 
< 183.6 us	2	| 
< 188.1 us	1	| 
< 192.5 us	5	| 
< 196.9 us	7	| 
< 201.3 us	2	| 
< 205.7 us	5	| 
< 210.1 us	16	| 
< 214.6 us	16	| 
<       +∞	23	| 
# POLL·3 C1·912 C1E·17138 C3·16716 C6·1659

--- . (ext4 /dev/sda1) ioping statistics ---
23.1 k requests completed in 2.96 s, 90.3 MiB read, 7.81 k iops, 30.5 MiB/s
generated 23.1 k requests in 3.00 s, 90.3 MiB, 7.70 k iops, 30.1 MiB/s
min/avg/max/mdev = 125.0 us / 128.1 us / 214.7 us / 1.99 us
Benchmarkdisk/randread/direct/4K-min 1 125.0 us/op
Benchmarkdisk/randread/direct/4K-avg 1 128.1 us/op
< 125.0 us	0	| 
< 127.5 us	9858	| *********************
< 130.0 us	12805	| ***************************
< 132.4 us	283	| 
< 134.9 us	31	| 
< 137.4 us	10	| 
< 139.8 us	1	| 
< 142.3 us	1	| 
< 144.8 us	0	| 
< 147.2 us	1	| 
< 149.7 us	1	| 
< 152.2 us	0	| 
< 154.6 us	0	| 
< 157.1 us	0	| 
< 159.6 us	0	| 
< 162.0 us	0	| 
< 164.5 us	0	| 
< 167.0 us	1	| 
< 169.4 us	1	| 
< 171.9 us	0	| 
< 174.4 us	1	| 
<       +∞	12	| 
# POLL·7 C1·23177 C1E·35 C3·27 C6·439

*** disk: random direct (no kernel cache) 2M-read latency

--- . (ext4 /dev/sda1) ioping statistics ---
348 requests completed in 3.00 s, 696 MiB read, 116 iops, 232.3 MiB/s
generated 349 requests in 3.01 s, 698 MiB, 116 iops, 232.2 MiB/s
min/avg/max/mdev = 8.03 ms / 8.61 ms / 9.19 ms / 96.6 us
Benchmarkdisk/randread/direct/2M-min 1 8.03 ms/op
Benchmarkdisk/randread/direct/2M-avg 1 8.61 ms/op
< 8.03 ms	0	| 
< 8.07 ms	0	| 
< 8.11 ms	0	| 
< 8.15 ms	0	| 
< 8.19 ms	0	| 
< 8.22 ms	0	| 
< 8.26 ms	0	| 
< 8.30 ms	0	| 
< 8.34 ms	0	| 
< 8.38 ms	2	| 
< 8.42 ms	1	| 
< 8.46 ms	5	| 
< 8.50 ms	8	| *
< 8.54 ms	37	| *****
< 8.58 ms	43	| ******
< 8.62 ms	32	| ****
< 8.66 ms	53	| *******
