>>> bench-local
# Thu, 22 Feb 2018 16:29:54 +0300
# neotest@rio.kirr.nexedi.com (2401:5180:0:2a::1 192.168.0.6)
# Linux rio 4.15.0-1-amd64 #1 SMP Debian 4.15.4-1 (2018-02-18) x86_64 GNU/Linux
# cpu: Intel(R) Core(TM) i7-3770S CPU @ 3.10GHz
# cpu[0-7]: freq: intel_pstate/performance [1.60GHz - 3.90GHz]
# cpu[0-7]: idle: intel_idle/menu: POLL(0μs) C1(1μs) C1E(10μs) C3(59μs) C6(80μs)
# cpu: WARNING: frequency not fixed - benchmark timings won't be stable
# cpu: WARNING: C-state exit-latency is max 80μs - up to that can add to networked and IPC request-reply latency
# sda: Samsung SSD 840   rev BB0Q 931.5G
# eth0: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
# eth0: features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# eth0: coalesce: rxc: 200μs/4f/0μs-irq/0f-irq,  txc: 200μs/4f/0μs-irq/0f-irq
# eth0: up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# eth0: WARNING: TSO not enabled - TCP latency with packets > MSS will be poor
# eth0: WARNING: RX coalesce latency is max 200μs - that will add to networked request-reply latency
# eth1: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
# eth1: features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# eth1: coalesce: rxc: 0μs/1f/0μs-irq/0f-irq,  txc: 0μs/1f/0μs-irq/0f-irq
# eth1: down, speed=?, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# eth1: WARNING: TSO not enabled - TCP latency with packets > MSS will be poor
# Python 2.7.14+
# go version go1.10 linux/amd64
# sqlite 3.22.0 (py mod 2.6.0)
# mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
# neo             : v1.8-1552-g4bcbc04d
# zodb            : 5.3.0
# zeo             : 5.1.1
# mysqlclient     : 1.3.12
# wendelin.core   : 0.11

*** cpu:

Benchmarkrio/pystone 1 175562 pystone/s	# POLL·0 C1·9 C1E·7 C3·7 C6·149
Benchmarkrio/pystone 1 185401 pystone/s	# POLL·0 C1·33 C1E·3 C3·6 C6·162
Benchmarkrio/pystone 1 176984 pystone/s	# POLL·0 C1·5 C1E·10 C3·2 C6·178
Benchmarkrio/pystone 1 179955 pystone/s	# POLL·0 C1·8 C1E·6 C3·3 C6·164
Benchmarkrio/pystone 1 182050 pystone/s	# POLL·0 C1·29 C1E·4 C3·4 C6·146
Benchmarkrio/sha1/py/2M 326	3052.228 µs/op	# POLL·0 C1·10 C1E·5 C3·5 C6·149
Benchmarkrio/sha1/py/2M 323	3043.522 µs/op	# POLL·0 C1·24 C1E·4 C3·15 C6·153
Benchmarkrio/sha1/go/2M 500	3674.009 µs/op	# POLL·1 C1·94 C1E·72 C3·16 C6·454
Benchmarkrio/sha1/go/2M 500	3733.216 µs/op	# POLL·0 C1·99 C1E·78 C3·13 C6·498
Benchmarkrio/sha1/go/2M 500	3725.240 µs/op	# POLL·1 C1·82 C1E·142 C3·11 C6·425
Benchmarkrio/sha1/go/2M 500	3752.015 µs/op	# POLL·0 C1·121 C1E·86 C3·16 C6·435
Benchmarkrio/sha1/go/2M 500	3737.284 µs/op	# POLL·0 C1·68 C1E·78 C3·23 C6·464
Benchmarkrio/unzlib/py/null-1K 475555	2.188 µs/op	# POLL·0 C1·24 C1E·7 C3·7 C6·179
Benchmarkrio/unzlib/py/null-1K 485232	2.117 µs/op	# POLL·1 C1·6 C1E·10 C3·3 C6·152
Benchmarkrio/unzlib/py/null-1K 481565	2.139 µs/op	# POLL·0 C1·21 C1E·9 C3·6 C6·160
Benchmarkrio/unzlib/py/null-1K 480014	2.154 µs/op	# POLL·0 C1·9 C1E·12 C3·1 C6·163
Benchmarkrio/unzlib/py/null-1K 484315	2.114 µs/op	# POLL·0 C1·24 C1E·2 C3·4 C6·176
Benchmarkrio/unzlib/go/null-1K 500000	2.310 µs/op	# POLL·0 C1·460 C1E·188 C3·31 C6·1975
Benchmarkrio/unzlib/go/null-1K 500000	2.307 µs/op	# POLL·0 C1·361 C1E·207 C3·22 C6·2010
Benchmarkrio/unzlib/go/null-1K 500000	2.308 µs/op	# POLL·0 C1·403 C1E·196 C3·39 C6·2001
Benchmarkrio/unzlib/go/null-1K 500000	2.302 µs/op	# POLL·0 C1·386 C1E·237 C3·33 C6·2073
Benchmarkrio/unzlib/go/null-1K 500000	2.285 µs/op	# POLL·0 C1·295 C1E·240 C3·29 C6·2021
Benchmarkrio/unzlib/py/null-4K 120587	13.759 µs/op	# POLL·0 C1·5 C1E·12 C3·4 C6·200
Benchmarkrio/unzlib/py/null-4K 120505	13.752 µs/op	# POLL·0 C1·26 C1E·3 C3·10 C6·192
Benchmarkrio/unzlib/py/null-4K 120482	13.753 µs/op	# POLL·0 C1·25 C1E·13 C3·3 C6·172
Benchmarkrio/unzlib/py/null-4K 120007	13.864 µs/op	# POLL·0 C1·18 C1E·3 C3·3 C6·207
Benchmarkrio/unzlib/py/null-4K 120470	13.743 µs/op	# POLL·0 C1·11 C1E·9 C3·6 C6·195
Benchmarkrio/unzlib/go/null-4K 200000	9.355 µs/op	# POLL·0 C1·750 C1E·221 C3·50 C6·3208
Benchmarkrio/unzlib/go/null-4K 200000	9.329 µs/op	# POLL·0 C1·655 C1E·351 C3·28 C6·3246
Benchmarkrio/unzlib/go/null-4K 200000	9.339 µs/op	# POLL·0 C1·678 C1E·297 C3·23 C6·3188
Benchmarkrio/unzlib/go/null-4K 200000	9.238 µs/op	# POLL·0 C1·348 C1E·365 C3·28 C6·3200
Benchmarkrio/unzlib/go/null-4K 200000	9.319 µs/op	# POLL·1 C1·536 C1E·294 C3·50 C6·3284
Benchmarkrio/unzlib/py/null-2M 241	4744.085 µs/op	# POLL·0 C1·28 C1E·16 C3·2 C6·163
Benchmarkrio/unzlib/py/null-2M 242	4706.349 µs/op	# POLL·0 C1·21 C1E·3 C3·7 C6·169
Benchmarkrio/unzlib/py/null-2M 242	4760.777 µs/op	# POLL·0 C1·0 C1E·9 C3·8 C6·192
Benchmarkrio/unzlib/py/null-2M 242	4993.888 µs/op	# POLL·0 C1·39 C1E·2 C3·1 C6·173
Benchmarkrio/unzlib/py/null-2M 242	4971.307 µs/op	# POLL·0 C1·35 C1E·6 C3·1 C6·182
Benchmarkrio/unzlib/go/null-2M 300	4055.035 µs/op	# POLL·8 C1·841 C1E·5783 C3·34 C6·4883
Benchmarkrio/unzlib/go/null-2M 300	4060.254 µs/op	# POLL·9 C1·732 C1E·5890 C3·28 C6·4885
Benchmarkrio/unzlib/go/null-2M 300	4050.456 µs/op	# POLL·2 C1·887 C1E·5854 C3·62 C6·4770
Benchmarkrio/unzlib/go/null-2M 300	4048.882 µs/op	# POLL·7 C1·729 C1E·5888 C3·63 C6·4923
Benchmarkrio/unzlib/go/null-2M 300	4033.425 µs/op	# POLL·3 C1·828 C1E·5810 C3·43 C6·4942
Benchmarkrio/unzlib/py/wczdata-avg 55945	18.988 µs/op	# POLL·0 C1·22 C1E·3 C3·10 C6·166
Benchmarkrio/unzlib/py/wczdata-avg 55885	19.139 µs/op	# POLL·0 C1·12 C1E·9 C3·5 C6·195
Benchmarkrio/unzlib/py/wczdata-avg 56553	18.855 µs/op	# POLL·0 C1·5 C1E·1 C3·10 C6·170
Benchmarkrio/unzlib/py/wczdata-avg 56354	18.838 µs/op	# POLL·0 C1·6 C1E·14 C3·2 C6·159
Benchmarkrio/unzlib/py/wczdata-avg 56229	19.078 µs/op	# POLL·0 C1·11 C1E·12 C3·5 C6·178
Benchmarkrio/unzlib/go/wczdata-avg 100000	18.974 µs/op	# POLL·0 C1·321 C1E·234 C3·25 C6·2245
Benchmarkrio/unzlib/go/wczdata-avg 100000	18.895 µs/op	# POLL·1 C1·359 C1E·226 C3·22 C6·2214
Benchmarkrio/unzlib/go/wczdata-avg 100000	19.021 µs/op	# POLL·1 C1·378 C1E·186 C3·24 C6·2271
Benchmarkrio/unzlib/go/wczdata-avg 100000	19.081 µs/op	# POLL·0 C1·360 C1E·253 C3·18 C6·2249
Benchmarkrio/unzlib/go/wczdata-avg 100000	19.268 µs/op	# POLL·1 C1·402 C1E·246 C3·24 C6·2220
Benchmarkrio/unzlib/py/wczdata-max 56450	18.801 µs/op	# POLL·0 C1·1 C1E·8 C3·5 C6·174
Benchmarkrio/unzlib/py/wczdata-max 56517	18.753 µs/op	# POLL·0 C1·26 C1E·4 C3·8 C6·137
Benchmarkrio/unzlib/py/wczdata-max 56742	18.611 µs/op	# POLL·0 C1·13 C1E·12 C3·5 C6·161
Benchmarkrio/unzlib/py/wczdata-max 56624	18.684 µs/op	# POLL·0 C1·1 C1E·7 C3·7 C6·197
Benchmarkrio/unzlib/py/wczdata-max 56940	18.461 µs/op	# POLL·0 C1·16 C1E·1 C3·3 C6·164
Benchmarkrio/unzlib/go/wczdata-max 100000	18.983 µs/op	# POLL·1 C1·456 C1E·253 C3·16 C6·2253
Benchmarkrio/unzlib/go/wczdata-max 100000	18.792 µs/op	# POLL·0 C1·292 C1E·215 C3·24 C6·2203
Benchmarkrio/unzlib/go/wczdata-max 100000	18.966 µs/op	# POLL·0 C1·452 C1E·171 C3·22 C6·2208
Benchmarkrio/unzlib/go/wczdata-max 100000	18.848 µs/op	# POLL·0 C1·388 C1E·143 C3·24 C6·2325
Benchmarkrio/unzlib/go/wczdata-max 100000	18.784 µs/op	# POLL·0 C1·356 C1E·314 C3·26 C6·2253
Benchmarkrio/unzlib/py/prod1-avg 259762	4.425 µs/op	# POLL·0 C1·0 C1E·3 C3·4 C6·171
Benchmarkrio/unzlib/py/prod1-avg 260035	4.443 µs/op	# POLL·0 C1·0 C1E·12 C3·9 C6·185
Benchmarkrio/unzlib/py/prod1-avg 258940	4.447 µs/op	# POLL·0 C1·32 C1E·2 C3·4 C6·195
Benchmarkrio/unzlib/py/prod1-avg 259210	4.442 µs/op	# POLL·0 C1·2 C1E·7 C3·6 C6·158
Benchmarkrio/unzlib/py/prod1-avg 259663	4.418 µs/op	# POLL·0 C1·16 C1E·6 C3·5 C6·192
Benchmarkrio/unzlib/go/prod1-avg 300000	4.175 µs/op	# POLL·1 C1·361 C1E·171 C3·22 C6·1841
Benchmarkrio/unzlib/go/prod1-avg 300000	4.177 µs/op	# POLL·0 C1·319 C1E·203 C3·16 C6·1874
Benchmarkrio/unzlib/go/prod1-avg 300000	4.189 µs/op	# POLL·0 C1·413 C1E·179 C3·25 C6·1842
Benchmarkrio/unzlib/go/prod1-avg 300000	4.134 µs/op	# POLL·0 C1·191 C1E·206 C3·34 C6·1796
Benchmarkrio/unzlib/go/prod1-avg 300000	4.183 µs/op	# POLL·0 C1·403 C1E·163 C3·27 C6·1851
Benchmarkrio/unzlib/py/prod1-max 3997	249.935 µs/op	# POLL·0 C1·31 C1E·7 C3·3 C6·172
Benchmarkrio/unzlib/py/prod1-max 3086	323.477 µs/op	# POLL·0 C1·7 C1E·14 C3·9 C6·158
Benchmarkrio/unzlib/py/prod1-max 4006	311.288 µs/op	# POLL·0 C1·6 C1E·12 C3·5 C6·178
Benchmarkrio/unzlib/py/prod1-max 3050	327.651 µs/op	# POLL·0 C1·8 C1E·1 C3·4 C6·161
Benchmarkrio/unzlib/py/prod1-max 3039	329.379 µs/op	# POLL·0 C1·13 C1E·9 C3·3 C6·155
Benchmarkrio/unzlib/go/prod1-max 5000	234.831 µs/op	# POLL·0 C1·178 C1E·340 C3·17 C6·1988
Benchmarkrio/unzlib/go/prod1-max 5000	235.061 µs/op	# POLL·0 C1·152 C1E·291 C3·16 C6·2033
Benchmarkrio/unzlib/go/prod1-max 5000	233.506 µs/op	# POLL·0 C1·110 C1E·314 C3·19 C6·2018
Benchmarkrio/unzlib/go/prod1-max 5000	233.962 µs/op	# POLL·1 C1·147 C1E·228 C3·15 C6·2011
Benchmarkrio/unzlib/go/prod1-max 5000	233.732 µs/op	# POLL·0 C1·104 C1E·165 C3·46 C6·1981

*** disk: random direct (no kernel cache) 4K-read latency

--- . (ext4 /dev/sda1) ioping statistics ---
31.9 k requests completed in 2.97 s, 124.6 MiB read, 10.7 k iops, 41.9 MiB/s
generated 31.9 k requests in 3.00 s, 124.6 MiB, 10.6 k iops, 41.5 MiB/s
min/avg/max/mdev = 34.6 us / 93.3 us / 521.0 us / 7.47 us
Benchmarkrio/disk/randread/direct/4K-min 1 34.6 us/op
Benchmarkrio/disk/randread/direct/4K-avg 1 93.3 us/op
< 35.8 us	24	| 
< 42.6 us	452	| 
< 49.4 us	0	| 
< 56.2 us	0	| 
< 63.0 us	0	| 
< 69.8 us	0	| 
< 76.5 us	0	| 
< 83.3 us	0	| 
< 90.1 us	0	| 
< 96.9 us	31255	| *************************************************
< 103.7 us	31	| 
< 110.4 us	27	| 
< 117.2 us	0	| 
< 124.0 us	1	| 
< 130.8 us	0	| 
< 137.6 us	0	| 
< 144.4 us	0	| 
< 151.1 us	0	| 
< 157.9 us	0	| 
< 164.7 us	0	| 
< 171.5 us	0	| 
<       +∞	1	| 
# POLL·259 C1·293877 C1E·137 C3·17 C6·812

--- . (ext4 /dev/sda1) ioping statistics ---
31.9 k requests completed in 2.98 s, 124.8 MiB read, 10.7 k iops, 41.9 MiB/s
generated 31.9 k requests in 3.00 s, 124.8 MiB, 10.6 k iops, 41.6 MiB/s
min/avg/max/mdev = 34.8 us / 93.1 us / 111.1 us / 7.11 us
Benchmarkrio/disk/randread/direct/4K-min 1 34.8 us/op
Benchmarkrio/disk/randread/direct/4K-avg 1 93.1 us/op
< 44.9 us	486	| 
< 48.0 us	0	| 
< 51.1 us	1	| 
< 54.2 us	0	| 
< 57.4 us	0	| 
< 60.5 us	0	| 
< 63.6 us	0	| 
< 66.7 us	0	| 
< 69.8 us	0	| 
< 72.9 us	0	| 
< 76.0 us	0	| 
< 79.1 us	0	| 
< 82.2 us	0	| 
< 85.3 us	0	| 
< 88.4 us	0	| 
< 91.5 us	20	| 
< 94.7 us	25481	| ***************************************
< 97.8 us	5744	| ********
< 100.9 us	34	| 
< 104.0 us	36	| 
< 107.1 us	27	| 
<       +∞	13	| 
# POLL·2 C1·31920 C1E·65 C3·8 C6·245

--- . (ext4 /dev/sda1) ioping statistics ---
31.9 k requests completed in 2.98 s, 124.5 MiB read, 10.7 k iops, 41.9 MiB/s
generated 31.9 k requests in 3.00 s, 124.6 MiB, 10.6 k iops, 41.5 MiB/s
min/avg/max/mdev = 35.0 us / 93.3 us / 1.60 ms / 13.9 us
Benchmarkrio/disk/randread/direct/4K-min 1 35.0 us/op
Benchmarkrio/disk/randread/direct/4K-avg 1 93.3 us/op
< 92.2 us	652	| *
< 93.1 us	3547	| *****
< 94.1 us	12168	| *******************
< 95.0 us	11970	| ******************
< 96.0 us	3171	| ****
< 96.9 us	168	| 
< 97.8 us	19	| 
< 98.8 us	5	| 
< 99.7 us	6	| 
< 100.7 us	1	| 
< 101.6 us	11	| 
< 102.6 us	12	| 
< 103.5 us	10	| 
< 104.4 us	11	| 
< 105.4 us	11	| 
< 106.3 us	7	| 
< 107.3 us	4	| 
< 108.2 us	3	| 
< 109.2 us	2	| 
< 110.1 us	0	| 
< 111.0 us	0	| 
<       +∞	6	| 
# POLL·0 C1·31901 C1E·34 C3·6 C6·270

--- . (ext4 /dev/sda1) ioping statistics ---
31.9 k requests completed in 2.97 s, 124.7 MiB read, 10.7 k iops, 41.9 MiB/s
generated 31.9 k requests in 3.00 s, 124.7 MiB, 10.6 k iops, 41.6 MiB/s
min/avg/max/mdev = 34.7 us / 93.2 us / 113.7 us / 7.30 us
Benchmarkrio/disk/randread/direct/4K-min 1 34.7 us/op
Benchmarkrio/disk/randread/direct/4K-avg 1 93.2 us/op
< 91.6 us	536	| 
< 92.3 us	401	| 
< 93.1 us	3189	| ****
< 93.9 us	8978	| **************
< 94.6 us	11938	| ******************
< 95.4 us	5749	| *********
< 96.2 us	876	| *
< 96.9 us	54	| 
< 97.7 us	19	| 
< 98.5 us	6	| 
< 99.2 us	6	| 
< 100.0 us	6	| 
< 100.7 us	5	| 
< 101.5 us	4	| 
< 102.3 us	8	| 
< 103.0 us	8	| 
< 103.8 us	9	| 
< 104.6 us	7	| 
< 105.3 us	9	| 
< 106.1 us	5	| 
< 106.9 us	7	| 
<       +∞	9	| 
# POLL·2 C1·31935 C1E·51 C3·6 C6·197

--- . (ext4 /dev/sda1) ioping statistics ---
31.9 k requests completed in 2.98 s, 124.6 MiB read, 10.7 k iops, 41.9 MiB/s
generated 31.9 k requests in 3.00 s, 124.6 MiB, 10.6 k iops, 41.5 MiB/s
min/avg/max/mdev = 34.6 us / 93.3 us / 1.61 ms / 13.6 us
Benchmarkrio/disk/randread/direct/4K-min 1 34.6 us/op
Benchmarkrio/disk/randread/direct/4K-avg 1 93.3 us/op
< 37.3 us	427	| 
< 41.1 us	28	| 
< 44.9 us	0	| 
< 48.6 us	0	| 
< 52.4 us	0	| 
< 56.2 us	0	| 
< 60.0 us	0	| 
< 63.8 us	0	| 
< 67.6 us	0	| 
< 71.3 us	0	| 
< 75.1 us	0	| 
< 78.9 us	0	| 
< 82.7 us	0	| 
< 86.5 us	0	| 
< 90.3 us	0	| 
< 94.0 us	17117	| **************************
< 97.8 us	14151	| **********************
< 101.6 us	23	| 
< 105.4 us	22	| 
< 109.2 us	12	| 
< 113.0 us	4	| 
<       +∞	6	| 
# POLL·1 C1·31875 C1E·40 C3·8 C6·218

*** disk: random direct (no kernel cache) 2M-read latency

--- . (ext4 /dev/sda1) ioping statistics ---
398 requests completed in 3.00 s, 796 MiB read, 132 iops, 265.8 MiB/s
generated 399 requests in 3.00 s, 798 MiB, 132 iops, 265.6 MiB/s
min/avg/max/mdev = 7.47 ms / 7.53 ms / 7.55 ms / 6.86 us
Benchmarkrio/disk/randread/direct/2M-min 1 7.47 ms/op
Benchmarkrio/disk/randread/direct/2M-avg 1 7.53 ms/op
< 7.52 ms	7	| 
< 7.52 ms	0	| 
< 7.52 ms	0	| 
< 7.52 ms	0	| 
< 7.52 ms	1	| 
< 7.52 ms	0	| 
< 7.52 ms	1	| 
< 7.52 ms	0	| 
< 7.52 ms	1	| 
< 7.52 ms	3	| 
< 7.52 ms	4	| 
< 7.52 ms	14	| *
< 7.52 ms	15	| *
< 7.53 ms	52	| ******
< 7.53 ms	19	| **
< 7.53 ms	57	| *******
< 7.53 ms	37	| ****
< 7.53 ms	21	| **
< 7.53 ms	45	| *****
< 7.53 ms	11	| *
< 7.53 ms	2	| 
<       +∞	8	| *
# POLL·0 C1·28 C1E·19 C3·3 C6·1025

--- . (ext4 /dev/sda1) ioping statistics ---
398 requests completed in 3.00 s, 796 MiB read, 132 iops, 265.8 MiB/s
generated 399 requests in 3.00 s, 798 MiB, 132 iops, 265.6 MiB/s
min/avg/max/mdev = 7.47 ms / 7.53 ms / 7.53 ms / 7.63 us
Benchmarkrio/disk/randread/direct/2M-min 1 7.47 ms/op
Benchmarkrio/disk/randread/direct/2M-avg 1 7.53 ms/op
< 7.47 ms	1	| 
< 7.47 ms	3	| 
< 7.47 ms	0	| 
< 7.48 ms	0	| 
< 7.48 ms	0	| 
< 7.48 ms	0	| 
< 7.49 ms	0	| 
< 7.49 ms	0	| 
< 7.49 ms	0	| 
< 7.50 ms	0	| 
< 7.50 ms	0	| 
< 7.50 ms	0	| 
< 7.51 ms	0	| 
< 7.51 ms	0	| 
< 7.51 ms	0	| 
< 7.52 ms	0	| 
< 7.52 ms	0	| 
< 7.52 ms	7	| 
< 7.53 ms	75	| *********
< 7.53 ms	181	| **********************
< 7.53 ms	25	| ***
<       +∞	6	| 
# POLL·0 C1·16 C1E·14 C3·8 C6·1063

--- . (ext4 /dev/sda1) ioping statistics ---
398 requests completed in 2.99 s, 796 MiB read, 132 iops, 265.8 MiB/s
generated 399 requests in 3.00 s, 798 MiB, 132 iops, 265.6 MiB/s
min/avg/max/mdev = 7.46 ms / 7.52 ms / 7.53 ms / 6.94 us
Benchmarkrio/disk/randread/direct/2M-min 1 7.46 ms/op
Benchmarkrio/disk/randread/direct/2M-avg 1 7.52 ms/op
< 7.46 ms	0	| 
< 7.47 ms	1	| 
< 7.47 ms	2	| 
< 7.47 ms	0	| 
< 7.48 ms	0	| 
< 7.48 ms	0	| 
< 7.48 ms	0	| 
< 7.49 ms	0	| 
< 7.49 ms	0	| 
< 7.50 ms	0	| 
< 7.50 ms	0	| 
< 7.50 ms	0	| 
< 7.51 ms	0	| 
< 7.51 ms	0	| 
< 7.51 ms	1	| 
< 7.52 ms	1	| 
< 7.52 ms	0	| 
< 7.52 ms	30	| ***
< 7.53 ms	218	| ***************************
< 7.53 ms	42	| *****
< 7.53 ms	3	| 
<       +∞	0	| 
# POLL·0 C1·26 C1E·4 C3·9 C6·1054

--- . (ext4 /dev/sda1) ioping statistics ---
399 requests completed in 3.00 s, 798 MiB read, 133 iops, 266.2 MiB/s
generated 400 requests in 3.01 s, 800 MiB, 133 iops, 266.0 MiB/s
min/avg/max/mdev = 7.46 ms / 7.51 ms / 7.54 ms / 24.7 us
Benchmarkrio/disk/randread/direct/2M-min 1 7.46 ms/op
Benchmarkrio/disk/randread/direct/2M-avg 1 7.51 ms/op
< 7.47 ms	5	| 
< 7.47 ms	68	| ********
< 7.48 ms	20	| **
< 7.48 ms	2	| 
< 7.48 ms	0	| 
< 7.49 ms	0	| 
< 7.49 ms	0	| 
< 7.49 ms	1	| 
< 7.50 ms	0	| 
< 7.50 ms	0	| 
< 7.50 ms	0	| 
< 7.51 ms	0	| 
< 7.51 ms	1	| 
< 7.51 ms	0	| 
< 7.52 ms	0	| 
< 7.52 ms	0	| 
< 7.52 ms	1	| 
< 7.53 ms	12	| *
< 7.53 ms	115	| **************
< 7.53 ms	61	| *******
< 7.54 ms	10	| *
<       +∞	3	| 
# POLL·0 C1·23 C1E·14 C3·3 C6·1382

--- . (ext4 /dev/sda1) ioping statistics ---
399 requests completed in 2.99 s, 798 MiB read, 133 iops, 266.4 MiB/s
generated 400 requests in 3.00 s, 800 MiB, 133 iops, 266.3 MiB/s
min/avg/max/mdev = 7.46 ms / 7.51 ms / 7.54 ms / 27.3 us
