>>> bench-cluster neotest@rio:1

*** neotest: node: (server)
date:	Mon, 05 Mar 2018 15:16:47 +0300
xnode:	kirr@deco.navytux.spb.ru (2401:5180:0:37::1 192.168.0.2)
uname:	Linux deco 4.15.0-1-amd64 #1 SMP Debian 4.15.4-1 (2018-02-18) x86_64 GNU/Linux
cpu:	Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz
cpu/[0-3]/freq: intel_pstate/performance [2.60GHz - 2.60GHz]
cpu/[0-3]/idle: intel_idle/menu: POLL(0μs) C1(2μs) C1E(10μs) C3(70μs) C6(85μs) C7s(124μs) C8(200μs) C9(480μs) C10(890μs)
WARNING: cpu: C-state exit-latency is max 890μs - up to that can add to networked and IPC request-reply latency
disk/sda: SanDisk X400 M.2  rev 0012  477G
nic/eth0: Intel Corporation Ethernet Connection I219-LM rev 21
nic/eth0/features: rx tx sg tso !ufo gso gro !lro rxvlan txvlan !ntuple rxhash ...
nic/eth0/coalesce: rxc: 3μs/0f/0μs-irq/0f-irq,  txc: 0μs/0f/0μs-irq/0f-irq
nic/eth0/status:   up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
nic/wlan0: Intel Corporation Wireless 8260 rev 3a
nic/wlan0/features: !rx !tx sg !tso !ufo gso gro !lro !rxvlan !txvlan !ntuple !rxhash ...
nic/wlan0/coalesce: rxc: ?,  txc: ?
nic/wlan0/status:   down, speed=?, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/wlan0: TSO not enabled - TCP latency with packets > MSS will be poor
sw/python:          Python 2.7.14
sw/go:              go version go1.10 linux/amd64
sw/sqlite:          sqlite 3.22.0 (py mod 2.6.0)
sw/mysqld:          mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
sw/neo:             v1.8.1-1580-g7c21fb98-dirty
sw/zodb:            5.3.0-12-g2115c90aa
sw/zeo:             5.1.1-7-gf9e4442d
sw/mysqlclient:     1.3.12
sw/wendelin.core:   v0.11-15-gf785ac0

*** neotest: node: (client)
date:	Mon, 05 Mar 2018 15:16:48 +0300
xnode:	neotest@rio.kirr.nexedi.com (2401:5180:0:2a::1 192.168.0.6)
uname:	Linux rio 4.15.0-1-amd64 #1 SMP Debian 4.15.4-1 (2018-02-18) x86_64 GNU/Linux
cpu:	Intel(R) Core(TM) i7-3770S CPU @ 3.10GHz
cpu/[0-7]/freq: intel_pstate/performance [3.10GHz - 3.10GHz]
cpu/[0-7]/idle: intel_idle/menu: POLL(0μs) C1(1μs) C1E(10μs) C3(59μs) C6(80μs)
WARNING: cpu: C-state exit-latency is max 80μs - up to that can add to networked and IPC request-reply latency
disk/sda: Samsung SSD 840   rev BB0Q 931.5G
nic/eth0: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
nic/eth0/features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
nic/eth0/coalesce: rxc: 200μs/4f/0μs-irq/0f-irq,  txc: 200μs/4f/0μs-irq/0f-irq
nic/eth0/status:   up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/eth0: TSO not enabled - TCP latency with packets > MSS will be poor
WARNING: nic/eth0: RX coalesce latency is max 200μs - that will add to networked request-reply latency
nic/eth1: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
nic/eth1/features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
nic/eth1/coalesce: rxc: 0μs/1f/0μs-irq/0f-irq,  txc: 0μs/1f/0μs-irq/0f-irq
nic/eth1/status:   down, speed=?, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/eth1: TSO not enabled - TCP latency with packets > MSS will be poor
sw/python:          Python 2.7.14+
sw/go:              go version go1.10 linux/amd64
sw/sqlite:          sqlite 3.22.0 (py mod 2.6.0)
sw/mysqld:          mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
sw/neo:             v1.8-1589-g7c21fb98
sw/zodb:            5.3.0
sw/zeo:             5.1.1
sw/mysqlclient:     1.3.12
sw/wendelin.core:   0.11

*** server cpu:
node:	deco
cluster:
Benchmarkpystone 1 218123 pystone/s	# POLL·0 C1·0 C1E·3 C3·13 C6·48 C7s·0 C8·60 C9·0 C10·8
Benchmarkpystone 1 215387 pystone/s	# POLL·0 C1·0 C1E·8 C3·15 C6·37 C7s·0 C8·71 C9·0 C10·5
Benchmarkpystone 1 218805 pystone/s	# POLL·0 C1·0 C1E·3 C3·10 C6·41 C7s·0 C8·64 C9·0 C10·5
Benchmarkpystone 1 213975 pystone/s	# POLL·1 C1·0 C1E·5 C3·20 C6·38 C7s·0 C8·72 C9·0 C10·3
Benchmarkpystone 1 212759 pystone/s	# POLL·0 C1·1 C1E·6 C3·16 C6·42 C7s·0 C8·71 C9·0 C10·2
Benchmarkcrc32/py/2M 484	2123.288 µs/op	# POLL·0 C1·3 C1E·6 C3·4 C6·48 C7s·0 C8·129 C9·0 C10·133
Benchmarkcrc32/py/2M 484	2128.295 µs/op	# POLL·0 C1·1 C1E·4 C3·18 C6·32 C7s·0 C8·135 C9·0 C10·99
Benchmarkcrc32/py/2M 484	2123.890 µs/op	# POLL·1 C1·1 C1E·3 C3·14 C6·51 C7s·0 C8·112 C9·0 C10·89
Benchmarkcrc32/py/2M 484	2123.055 µs/op	# POLL·0 C1·2 C1E·15 C3·14 C6·45 C7s·0 C8·129 C9·0 C10·70
Benchmarkcrc32/py/2M 484	2123.140 µs/op	# POLL·0 C1·1 C1E·11 C3·17 C6·52 C7s·0 C8·84 C9·0 C10·87
Benchmarkcrc32/go/2M 10000	162.971 µs/op	# POLL·0 C1·47 C1E·70 C3·18 C6·70 C7s·0 C8·136 C9·0 C10·206
Benchmarkcrc32/go/2M 10000	163.027 µs/op	# POLL·1 C1·51 C1E·77 C3·19 C6·66 C7s·0 C8·119 C9·0 C10·199
Benchmarkcrc32/go/2M 10000	162.459 µs/op	# POLL·0 C1·45 C1E·64 C3·23 C6·65 C7s·0 C8·120 C9·0 C10·207
Benchmarkcrc32/go/2M 10000	163.774 µs/op	# POLL·1 C1·51 C1E·84 C3·21 C6·66 C7s·0 C8·125 C9·0 C10·194
Benchmarkcrc32/go/2M 10000	163.179 µs/op	# POLL·1 C1·52 C1E·68 C3·27 C6·68 C7s·0 C8·126 C9·0 C10·181
Benchmarksha1/py/1K 609340	1.879 µs/op	# POLL·0 C1·0 C1E·3 C3·6 C6·43 C7s·0 C8·83 C9·0 C10·49
Benchmarksha1/py/1K 617366	1.834 µs/op	# POLL·0 C1·1 C1E·2 C3·12 C6·40 C7s·0 C8·90 C9·0 C10·78
Benchmarksha1/py/1K 618331	1.827 µs/op	# POLL·0 C1·2 C1E·9 C3·10 C6·36 C7s·0 C8·89 C9·0 C10·63
Benchmarksha1/py/1K 611759	1.867 µs/op	# POLL·0 C1·1 C1E·6 C3·18 C6·37 C7s·0 C8·101 C9·0 C10·54
Benchmarksha1/py/1K 613823	1.842 µs/op	# POLL·0 C1·1 C1E·4 C3·7 C6·41 C7s·0 C8·105 C9·0 C10·64
Benchmarksha1/go/1K 1000000	1.529 µs/op	# POLL·1 C1·61 C1E·62 C3·23 C6·72 C7s·0 C8·118 C9·0 C10·204
Benchmarksha1/go/1K 1000000	1.527 µs/op	# POLL·1 C1·59 C1E·82 C3·26 C6·58 C7s·0 C8·101 C9·0 C10·186
Benchmarksha1/go/1K 1000000	1.527 µs/op	# POLL·0 C1·66 C1E·74 C3·27 C6·61 C7s·0 C8·121 C9·0 C10·191
Benchmarksha1/go/1K 1000000	1.528 µs/op	# POLL·0 C1·65 C1E·70 C3·24 C6·75 C7s·0 C8·88 C9·0 C10·186
Benchmarksha1/go/1K 1000000	1.528 µs/op	# POLL·1 C1·100 C1E·85 C3·13 C6·80 C7s·0 C8·121 C9·0 C10·205
Benchmarksha1/py/4K 172936	6.686 µs/op	# POLL·1 C1·1 C1E·8 C3·6 C6·57 C7s·0 C8·117 C9·0 C10·95
Benchmarksha1/py/4K 172779	6.694 µs/op	# POLL·0 C1·2 C1E·7 C3·5 C6·52 C7s·0 C8·109 C9·0 C10·140
Benchmarksha1/py/4K 173004	6.682 µs/op	# POLL·0 C1·0 C1E·8 C3·9 C6·47 C7s·0 C8·124 C9·0 C10·100
Benchmarksha1/py/4K 172864	6.686 µs/op	# POLL·0 C1·2 C1E·8 C3·8 C6·57 C7s·0 C8·166 C9·0 C10·138
Benchmarksha1/py/4K 172871	6.689 µs/op	# POLL·0 C1·3 C1E·8 C3·19 C6·33 C7s·0 C8·119 C9·0 C10·195
Benchmarksha1/go/4K 300000	5.587 µs/op	# POLL·0 C1·74 C1E·68 C3·18 C6·83 C7s·0 C8·142 C9·0 C10·223
Benchmarksha1/go/4K 300000	5.589 µs/op	# POLL·0 C1·72 C1E·70 C3·14 C6·66 C7s·0 C8·107 C9·0 C10·224
Benchmarksha1/go/4K 300000	5.585 µs/op	# POLL·1 C1·66 C1E·69 C3·22 C6·66 C7s·0 C8·134 C9·0 C10·208
Benchmarksha1/go/4K 300000	5.587 µs/op	# POLL·0 C1·70 C1E·74 C3·8 C6·69 C7s·0 C8·124 C9·0 C10·221
Benchmarksha1/go/4K 300000	5.587 µs/op	# POLL·0 C1·85 C1E·67 C3·10 C6·89 C7s·0 C8·99 C9·0 C10·206
Benchmarksha1/py/2M 353	3188.373 µs/op	# POLL·0 C1·0 C1E·26 C3·16 C6·47 C7s·0 C8·132 C9·0 C10·72
Benchmarksha1/py/2M 354	3182.909 µs/op	# POLL·0 C1·0 C1E·3 C3·15 C6·54 C7s·0 C8·103 C9·0 C10·89
Benchmarksha1/py/2M 354	3185.152 µs/op	# POLL·0 C1·1 C1E·7 C3·18 C6·40 C7s·0 C8·107 C9·0 C10·79
Benchmarksha1/py/2M 353	3184.283 µs/op	# POLL·0 C1·0 C1E·12 C3·18 C6·36 C7s·0 C8·108 C9·0 C10·101
Benchmarksha1/py/2M 354	3187.797 µs/op	# POLL·0 C1·1 C1E·24 C3·20 C6·46 C7s·0 C8·117 C9·0 C10·99
Benchmarksha1/go/2M 500	2775.073 µs/op	# POLL·0 C1·54 C1E·79 C3·26 C6·52 C7s·0 C8·104 C9·0 C10·216
Benchmarksha1/go/2M 500	2774.521 µs/op	# POLL·0 C1·40 C1E·67 C3·15 C6·74 C7s·0 C8·98 C9·0 C10·212
Benchmarksha1/go/2M 500	2778.591 µs/op	# POLL·2 C1·50 C1E·104 C3·25 C6·64 C7s·0 C8·106 C9·0 C10·331
Benchmarksha1/go/2M 500	2774.379 µs/op	# POLL·0 C1·31 C1E·80 C3·11 C6·69 C7s·0 C8·171 C9·0 C10·241
Benchmarksha1/go/2M 500	2782.052 µs/op	# POLL·2 C1·35 C1E·85 C3·29 C6·73 C7s·1 C8·172 C9·0 C10·233
Benchmarkunzlib/py/null-1K 371626	2.890 µs/op	# POLL·0 C1·0 C1E·5 C3·11 C6·48 C7s·0 C8·90 C9·0 C10·70
Benchmarkunzlib/py/null-1K 374755	2.842 µs/op	# POLL·0 C1·1 C1E·6 C3·15 C6·47 C7s·0 C8·79 C9·0 C10·78
Benchmarkunzlib/py/null-1K 371623	2.893 µs/op	# POLL·0 C1·0 C1E·5 C3·5 C6·48 C7s·0 C8·81 C9·0 C10·50
Benchmarkunzlib/py/null-1K 370182	2.906 µs/op	# POLL·0 C1·1 C1E·10 C3·7 C6·45 C7s·0 C8·105 C9·0 C10·48
Benchmarkunzlib/py/null-1K 368990	2.930 µs/op	# POLL·0 C1·2 C1E·7 C3·16 C6·68 C7s·0 C8·194 C9·0 C10·173
Benchmarkunzlib/go/null-1K 500000	2.877 µs/op	# POLL·0 C1·191 C1E·119 C3·29 C6·163 C7s·0 C8·695 C9·0 C10·351
Benchmarkunzlib/go/null-1K 500000	2.874 µs/op	# POLL·1 C1·175 C1E·132 C3·35 C6·133 C7s·0 C8·823 C9·0 C10·243
Benchmarkunzlib/go/null-1K 500000	2.870 µs/op	# POLL·1 C1·191 C1E·135 C3·55 C6·131 C7s·0 C8·774 C9·0 C10·262
Benchmarkunzlib/go/null-1K 500000	2.872 µs/op	# POLL·1 C1·237 C1E·174 C3·40 C6·124 C7s·0 C8·728 C9·0 C10·279
Benchmarkunzlib/go/null-1K 500000	2.871 µs/op	# POLL·0 C1·260 C1E·117 C3·28 C6·137 C7s·0 C8·779 C9·0 C10·205
Benchmarkunzlib/py/null-4K 94034	11.307 µs/op	# POLL·0 C1·0 C1E·2 C3·5 C6·62 C7s·0 C8·159 C9·0 C10·136
Benchmarkunzlib/py/null-4K 93782	11.370 µs/op	# POLL·1 C1·4 C1E·22 C3·17 C6·42 C7s·0 C8·94 C9·0 C10·90
Benchmarkunzlib/py/null-4K 93725	11.371 µs/op	# POLL·0 C1·1 C1E·3 C3·12 C6·42 C7s·0 C8·128 C9·0 C10·89
Benchmarkunzlib/py/null-4K 94038	11.306 µs/op	# POLL·0 C1·0 C1E·6 C3·14 C6·50 C7s·0 C8·103 C9·0 C10·100
Benchmarkunzlib/py/null-4K 93855	11.351 µs/op	# POLL·0 C1·0 C1E·9 C3·18 C6·51 C7s·0 C8·101 C9·0 C10·58
Benchmarkunzlib/go/null-4K 200000	11.377 µs/op	# POLL·2 C1·333 C1E·185 C3·30 C6·153 C7s·0 C8·1156 C9·0 C10·513
Benchmarkunzlib/go/null-4K 200000	11.372 µs/op	# POLL·1 C1·320 C1E·231 C3·45 C6·157 C7s·0 C8·1270 C9·0 C10·422
Benchmarkunzlib/go/null-4K 200000	11.375 µs/op	# POLL·2 C1·339 C1E·219 C3·34 C6·170 C7s·0 C8·1267 C9·0 C10·395
Benchmarkunzlib/go/null-4K 200000	11.385 µs/op	# POLL·0 C1·299 C1E·216 C3·47 C6·160 C7s·0 C8·1324 C9·0 C10·385
Benchmarkunzlib/go/null-4K 200000	11.388 µs/op	# POLL·1 C1·363 C1E·281 C3·30 C6·166 C7s·3 C8·1275 C9·0 C10·397
Benchmarkunzlib/py/null-2M 179	5571.011 µs/op	# POLL·0 C1·0 C1E·2 C3·7 C6·40 C7s·0 C8·77 C9·0 C10·60
Benchmarkunzlib/py/null-2M 179	5608.425 µs/op	# POLL·0 C1·1 C1E·22 C3·17 C6·49 C7s·0 C8·104 C9·0 C10·87
Benchmarkunzlib/py/null-2M 180	5410.886 µs/op	# POLL·0 C1·3 C1E·16 C3·6 C6·39 C7s·0 C8·74 C9·0 C10·39
Benchmarkunzlib/py/null-2M 179	5357.807 µs/op	# POLL·0 C1·0 C1E·1 C3·11 C6·47 C7s·0 C8·80 C9·0 C10·50
Benchmarkunzlib/py/null-2M 182	5667.661 µs/op	# POLL·0 C1·1 C1E·9 C3·9 C6·42 C7s·0 C8·90 C9·0 C10·63
Benchmarkunzlib/go/null-2M 300	4796.361 µs/op	# POLL·47 C1·1539 C1E·2137 C3·15 C6·129 C7s·0 C8·1696 C9·0 C10·244
