>>> bench-local
# Wed, 28 Feb 2018 11:14:55 +0200
# neotest@z6001.ivan.nexedi.com (2401:5180:0:6f::1 192.168.0.16)
# Linux z6001-COMP-2784 4.13.0-36-generic #40-Ubuntu SMP Fri Feb 16 20:07:48 UTC 2018 x86_64 x86_64 x86_64 GNU/Linux
# cpu: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz
# cpu[0-23]: freq: acpi-cpufreq/performance [2.66GHz - 2.66GHz]
# cpu[0-23]: idle: intel_idle/menu: POLL(0μs) C1(3μs) C1E(10μs) C3(20μs) C6(200μs)
# cpu: WARNING: C-state exit-latency is max 200μs - up to that can add to networked and IPC request-reply latency
# sda: ADATA SU800       rev 8BS  119,2G
# enp1s0: Broadcom Limited NetXtreme BCM5764M Gigabit Ethernet PCIe rev 10
# enp1s0: features: rx tx sg tso !ufo gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# enp1s0: coalesce: rxc: 20μs/5f/0μs-irq/5f-irq,  txc: 72μs/53f/0μs-irq/5f-irq
# enp1s0: up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# enp1s0: WARNING: RX coalesce latency is max 20μs - that will add to networked request-reply latency
# Python 2.7.12
# go version go1.10 linux/amd64
# sqlite 3.22.0 (py mod 2.6.0)
# mysqld  Ver 10.1.25-MariaDB-1 for debian-linux-gnu on x86_64 (Ubuntu 17.10)
# neo             : v1.8-1563-gfe8fd50-dirty
# zodb            : 5.3.0
# zeo             : 5.1.1
# mysqlclient     : 1.3.12
# wendelin.core   : 0.11

*** cpu:

Benchmarkz6001-COMP-2784/pystone 1 112206 pystone/s	# POLL·0 C1·96 C1E·1 C3·23 C6·396
Benchmarkz6001-COMP-2784/pystone 1 114783 pystone/s	# POLL·0 C1·89 C1E·0 C3·15 C6·461
Benchmarkz6001-COMP-2784/pystone 1 114558 pystone/s	# POLL·1 C1·87 C1E·7 C3·27 C6·490
Benchmarkz6001-COMP-2784/pystone 1 113271 pystone/s	# POLL·0 C1·80 C1E·0 C3·17 C6·389
Benchmarkz6001-COMP-2784/pystone 1 115634 pystone/s	# POLL·0 C1·74 C1E·3 C3·19 C6·468
Benchmarkz6001-COMP-2784/sha1/py/4K 116081	14.844 µs/op	# POLL·0 C1·60 C1E·0 C3·18 C6·622
Benchmarkz6001-COMP-2784/sha1/py/4K 116139	14.827 µs/op	# POLL·0 C1·96 C1E·1 C3·16 C6·646
Benchmarkz6001-COMP-2784/sha1/py/4K 115346	15.023 µs/op	# POLL·0 C1·79 C1E·1 C3·17 C6·696
Benchmarkz6001-COMP-2784/sha1/py/4K 116040	14.859 µs/op	# POLL·0 C1·83 C1E·2 C3·35 C6·788
Benchmarkz6001-COMP-2784/sha1/py/4K 116206	14.810 µs/op	# POLL·2 C1·80 C1E·2 C3·16 C6·548
Benchmarkz6001-COMP-2784/sha1/go/4K 200000	10.324 µs/op	# POLL·8 C1·168 C1E·139 C3·66 C6·998
Benchmarkz6001-COMP-2784/sha1/go/4K 200000	10.325 µs/op	# POLL·2 C1·168 C1E·129 C3·63 C6·1162
Benchmarkz6001-COMP-2784/sha1/go/4K 200000	10.325 µs/op	# POLL·8 C1·174 C1E·130 C3·64 C6·1003
Benchmarkz6001-COMP-2784/sha1/go/4K 200000	10.358 µs/op	# POLL·10 C1·143 C1E·139 C3·50 C6·1125
Benchmarkz6001-COMP-2784/sha1/go/4K 200000	13.802 µs/op	# POLL·2 C1·186 C1E·123 C3·65 C6·1292
Benchmarkz6001-COMP-2784/sha1/py/2M 237	5302.164 µs/op	# POLL·0 C1·79 C1E·1 C3·13 C6·502
Benchmarkz6001-COMP-2784/sha1/py/2M 237	5310.599 µs/op	# POLL·1 C1·72 C1E·2 C3·11 C6·533
Benchmarkz6001-COMP-2784/sha1/py/2M 236	5513.113 µs/op	# POLL·0 C1·89 C1E·2 C3·16 C6·473
Benchmarkz6001-COMP-2784/sha1/py/2M 236	5360.525 µs/op	# POLL·2 C1·78 C1E·2 C3·18 C6·546
Benchmarkz6001-COMP-2784/sha1/py/2M 237	5297.063 µs/op	# POLL·0 C1·100 C1E·3 C3·16 C6·573
Benchmarkz6001-COMP-2784/sha1/go/2M 300	5294.760 µs/op	# POLL·1 C1·140 C1E·90 C3·82 C6·1463
Benchmarkz6001-COMP-2784/sha1/go/2M 300	7847.572 µs/op	# POLL·2 C1·150 C1E·89 C3·85 C6·1374
Benchmarkz6001-COMP-2784/sha1/go/2M 200	5296.072 µs/op	# POLL·2 C1·161 C1E·76 C3·66 C6·988
Benchmarkz6001-COMP-2784/sha1/go/2M 300	5297.662 µs/op	# POLL·1 C1·138 C1E·103 C3·47 C6·1045
Benchmarkz6001-COMP-2784/sha1/go/2M 300	5299.696 µs/op	# POLL·2 C1·157 C1E·96 C3·49 C6·984
Benchmarkz6001-COMP-2784/unzlib/py/null-1K 314945	4.044 µs/op	# POLL·0 C1·77 C1E·2 C3·25 C6·625
Benchmarkz6001-COMP-2784/unzlib/py/null-1K 307261	4.234 µs/op	# POLL·0 C1·60 C1E·2 C3·13 C6·511
Benchmarkz6001-COMP-2784/unzlib/py/null-1K 315338	4.026 µs/op	# POLL·0 C1·77 C1E·3 C3·19 C6·587
Benchmarkz6001-COMP-2784/unzlib/py/null-1K 320230	3.889 µs/op	# POLL·4 C1·91 C1E·6 C3·14 C6·524
Benchmarkz6001-COMP-2784/unzlib/py/null-1K 323112	3.826 µs/op	# POLL·2 C1·80 C1E·4 C3·14 C6·513
Benchmarkz6001-COMP-2784/unzlib/go/null-1K 500000	3.530 µs/op	# POLL·2 C1·432 C1E·576 C3·213 C6·6281
Benchmarkz6001-COMP-2784/unzlib/go/null-1K 500000	3.530 µs/op	# POLL·2 C1·342 C1E·686 C3·112 C6·6526
Benchmarkz6001-COMP-2784/unzlib/go/null-1K 500000	3.484 µs/op	# POLL·0 C1·373 C1E·583 C3·168 C6·6391
Benchmarkz6001-COMP-2784/unzlib/go/null-1K 500000	3.442 µs/op	# POLL·1 C1·394 C1E·683 C3·118 C6·6270
Benchmarkz6001-COMP-2784/unzlib/go/null-1K 500000	3.443 µs/op	# POLL·2 C1·338 C1E·619 C3·173 C6·6459
Benchmarkz6001-COMP-2784/unzlib/py/null-4K 80050	14.038 µs/op	# POLL·0 C1·81 C1E·1 C3·18 C6·628
Benchmarkz6001-COMP-2784/unzlib/py/null-4K 79908	12.518 µs/op	# POLL·2 C1·92 C1E·4 C3·16 C6·517
Benchmarkz6001-COMP-2784/unzlib/py/null-4K 80456	13.916 µs/op	# POLL·0 C1·88 C1E·2 C3·18 C6·552
Benchmarkz6001-COMP-2784/unzlib/py/null-4K 79653	12.600 µs/op	# POLL·1 C1·68 C1E·1 C3·13 C6·351
Benchmarkz6001-COMP-2784/unzlib/py/null-4K 80295	13.957 µs/op	# POLL·0 C1·77 C1E·0 C3·11 C6·413
Benchmarkz6001-COMP-2784/unzlib/go/null-4K 100000	13.761 µs/op	# POLL·1 C1·308 C1E·567 C3·190 C6·5610
Benchmarkz6001-COMP-2784/unzlib/go/null-4K 100000	13.838 µs/op	# POLL·3 C1·421 C1E·626 C3·176 C6·5663
Benchmarkz6001-COMP-2784/unzlib/go/null-4K 100000	13.770 µs/op	# POLL·1 C1·276 C1E·561 C3·149 C6·5843
Benchmarkz6001-COMP-2784/unzlib/go/null-4K 100000	13.844 µs/op	# POLL·2 C1·327 C1E·440 C3·162 C6·5714
Benchmarkz6001-COMP-2784/unzlib/go/null-4K 100000	13.902 µs/op	# POLL·5 C1·467 C1E·692 C3·131 C6·5609
Benchmarkz6001-COMP-2784/unzlib/py/null-2M 157	6550.770 µs/op	# POLL·1 C1·89 C1E·1 C3·13 C6·429
Benchmarkz6001-COMP-2784/unzlib/py/null-2M 158	6493.071 µs/op	# POLL·0 C1·95 C1E·1 C3·19 C6·431
Benchmarkz6001-COMP-2784/unzlib/py/null-2M 158	6509.178 µs/op	# POLL·2 C1·70 C1E·2 C3·11 C6·421
Benchmarkz6001-COMP-2784/unzlib/py/null-2M 160	6436.832 µs/op	# POLL·0 C1·75 C1E·1 C3·10 C6·470
Benchmarkz6001-COMP-2784/unzlib/py/null-2M 157	6559.499 µs/op	# POLL·2 C1·91 C1E·1 C3·10 C6·518
Benchmarkz6001-COMP-2784/unzlib/go/null-2M 300	5485.627 µs/op	# POLL·47 C1·4778 C1E·6992 C3·574 C6·10489
Benchmarkz6001-COMP-2784/unzlib/go/null-2M 300	5480.349 µs/op	# POLL·57 C1·5164 C1E·7025 C3·674 C6·10139
Benchmarkz6001-COMP-2784/unzlib/go/null-2M 300	5553.385 µs/op	# POLL·49 C1·4948 C1E·6965 C3·638 C6·10457
Benchmarkz6001-COMP-2784/unzlib/go/null-2M 300	5500.313 µs/op	# POLL·57 C1·5459 C1E·7010 C3·649 C6·9761
Benchmarkz6001-COMP-2784/unzlib/go/null-2M 300	5496.819 µs/op	# POLL·55 C1·4904 C1E·6949 C3·679 C6·10316
Benchmarkz6001-COMP-2784/unzlib/py/wczdata 33251	36.170 µs/op	# POLL·2 C1·92 C1E·2 C3·9 C6·563
Benchmarkz6001-COMP-2784/unzlib/py/wczdata 33313	38.833 µs/op	# POLL·2 C1·69 C1E·1 C3·17 C6·483
Benchmarkz6001-COMP-2784/unzlib/py/wczdata 32804	48.889 µs/op	# POLL·2 C1·72 C1E·1 C3·10 C6·446
Benchmarkz6001-COMP-2784/unzlib/py/wczdata 33277	36.111 µs/op	# POLL·0 C1·97 C1E·0 C3·17 C6·520
Benchmarkz6001-COMP-2784/unzlib/py/wczdata 33362	35.971 µs/op	# POLL·0 C1·86 C1E·1 C3·14 C6·463
Benchmarkz6001-COMP-2784/unzlib/go/wczdata 50000	31.862 µs/op	# POLL·0 C1·342 C1E·514 C3·156 C6·4113
Benchmarkz6001-COMP-2784/unzlib/go/wczdata 50000	31.477 µs/op	# POLL·0 C1·339 C1E·493 C3·152 C6·4453
Benchmarkz6001-COMP-2784/unzlib/go/wczdata 50000	31.552 µs/op	# POLL·5 C1·355 C1E·429 C3·110 C6·4348
Benchmarkz6001-COMP-2784/unzlib/go/wczdata 50000	31.535 µs/op	# POLL·3 C1·246 C1E·414 C3·102 C6·4061
Benchmarkz6001-COMP-2784/unzlib/go/wczdata 50000	31.454 µs/op	# POLL·3 C1·307 C1E·401 C3·138 C6·4235
Benchmarkz6001-COMP-2784/unzlib/py/prod1-avg 104753	18.124 µs/op	# POLL·0 C1·70 C1E·3 C3·23 C6·601
Benchmarkz6001-COMP-2784/unzlib/py/prod1-avg 104760	18.157 µs/op	# POLL·1 C1·91 C1E·4 C3·11 C6·574
Benchmarkz6001-COMP-2784/unzlib/py/prod1-avg 105319	17.938 µs/op	# POLL·1 C1·74 C1E·5 C3·15 C6·427
Benchmarkz6001-COMP-2784/unzlib/py/prod1-avg 105088	18.052 µs/op	# POLL·1 C1·86 C1E·2 C3·23 C6·628
Benchmarkz6001-COMP-2784/unzlib/py/prod1-avg 105451	17.998 µs/op	# POLL·2 C1·106 C1E·4 C3·20 C6·477
Benchmarkz6001-COMP-2784/unzlib/go/prod1-avg 200000	10.113 µs/op	# POLL·0 C1·310 C1E·312 C3·146 C6·4445
Benchmarkz6001-COMP-2784/unzlib/go/prod1-avg 200000	9.991 µs/op	# POLL·1 C1·257 C1E·475 C3·114 C6·4492
Benchmarkz6001-COMP-2784/unzlib/go/prod1-avg 200000	9.939 µs/op	# POLL·2 C1·376 C1E·396 C3·138 C6·4278
Benchmarkz6001-COMP-2784/unzlib/go/prod1-avg 200000	9.885 µs/op	# POLL·1 C1·306 C1E·473 C3·104 C6·4316
Benchmarkz6001-COMP-2784/unzlib/go/prod1-avg 200000	9.887 µs/op	# POLL·2 C1·442 C1E·507 C3·143 C6·4145
Benchmarkz6001-COMP-2784/unzlib/py/prod1-max 2481	486.299 µs/op	# POLL·0 C1·76 C1E·0 C3·18 C6·491
Benchmarkz6001-COMP-2784/unzlib/py/prod1-max 2487	485.881 µs/op	# POLL·2 C1·96 C1E·1 C3·14 C6·441
Benchmarkz6001-COMP-2784/unzlib/py/prod1-max 2481	486.706 µs/op	# POLL·0 C1·74 C1E·0 C3·11 C6·486
Benchmarkz6001-COMP-2784/unzlib/py/prod1-max 2258	586.312 µs/op	# POLL·1 C1·77 C1E·2 C3·7 C6·530
Benchmarkz6001-COMP-2784/unzlib/py/prod1-max 2487	484.472 µs/op	# POLL·0 C1·87 C1E·1 C3·18 C6·573
Benchmarkz6001-COMP-2784/unzlib/go/prod1-max 3000	438.924 µs/op	# POLL·1 C1·869 C1E·236 C3·133 C6·3301
Benchmarkz6001-COMP-2784/unzlib/go/prod1-max 3000	417.371 µs/op	# POLL·1 C1·805 C1E·284 C3·85 C6·3507
Benchmarkz6001-COMP-2784/unzlib/go/prod1-max 3000	414.274 µs/op	# POLL·5 C1·1493 C1E·425 C3·90 C6·2672
Benchmarkz6001-COMP-2784/unzlib/go/prod1-max 3000	416.579 µs/op	# POLL·0 C1·1296 C1E·327 C3·82 C6·3029
Benchmarkz6001-COMP-2784/unzlib/go/prod1-max 3000	416.275 µs/op	# POLL·0 C1·1231 C1E·341 C3·103 C6·3110

*** disk: random direct (no kernel cache) 4K-read latency

--- . (ext4 /dev/sda1) ioping statistics ---
23.1 k requests completed in 2.96 s, 90.1 MiB read, 7.80 k iops, 30.5 MiB/s
generated 23.1 k requests in 3.00 s, 90.1 MiB, 7.69 k iops, 30.0 MiB/s
min/avg/max/mdev = 125.0 us / 128.2 us / 224.3 us / 2.15 us
Benchmarkz6001-COMP-2784/disk/randread/direct/4K-min 1 125.0 us/op
Benchmarkz6001-COMP-2784/disk/randread/direct/4K-avg 1 128.2 us/op
< 125.0 us	0	| 
< 126.2 us	20	| 
< 127.4 us	8387	| ******************
< 128.6 us	5087	| ***********
< 129.9 us	9081	| *******************
< 131.1 us	320	| 
< 132.3 us	18	| 
< 133.5 us	16	| 
< 134.7 us	13	| 
< 135.9 us	4	| 
< 137.1 us	0	| 
< 138.3 us	2	| 
< 139.5 us	0	| 
< 140.7 us	0	| 
< 141.9 us	0	| 
< 143.2 us	2	| 
< 144.4 us	1	| 
< 145.6 us	0	| 
< 146.8 us	1	| 
< 148.0 us	0	| 
< 149.2 us	0	| 
<       +∞	23	| 
# POLL·243 C1·285154 C1E·157757 C3·81 C6·2207

--- . (ext4 /dev/sda1) ioping statistics ---
17.9 k requests completed in 2.95 s, 69.8 MiB read, 6.06 k iops, 23.7 MiB/s
generated 17.9 k requests in 3.00 s, 69.8 MiB, 5.96 k iops, 23.3 MiB/s
min/avg/max/mdev = 127.7 us / 165.1 us / 276.1 us / 6.12 us
Benchmarkz6001-COMP-2784/disk/randread/direct/4K-min 1 127.7 us/op
Benchmarkz6001-COMP-2784/disk/randread/direct/4K-avg 1 165.1 us/op
< 128.9 us	5	| 
< 134.1 us	10	| 
< 139.3 us	275	| 
< 144.5 us	296	| 
< 149.7 us	0	| 
< 154.8 us	35	| 
< 160.0 us	209	| 
< 165.2 us	6279	| *****************
< 170.4 us	10134	| ****************************
< 175.6 us	445	| *
< 180.7 us	17	| 
< 185.9 us	1	| 
< 191.1 us	7	| 
< 196.3 us	19	| 
< 201.5 us	8	| 
< 206.7 us	10	| 
< 211.8 us	9	| 
< 217.0 us	4	| 
< 222.2 us	8	| 
< 227.4 us	5	| 
< 232.6 us	2	| 
<       +∞	1	| 
# POLL·1 C1·421 C1E·18115 C3·11545 C6·6331

--- . (ext4 /dev/sda1) ioping statistics ---
23.0 k requests completed in 2.96 s, 90.0 MiB read, 7.79 k iops, 30.4 MiB/s
generated 23.0 k requests in 3.00 s, 90.0 MiB, 7.68 k iops, 30.0 MiB/s
min/avg/max/mdev = 125.0 us / 128.3 us / 217.9 us / 2.05 us
Benchmarkz6001-COMP-2784/disk/randread/direct/4K-min 1 125.0 us/op
Benchmarkz6001-COMP-2784/disk/randread/direct/4K-avg 1 128.3 us/op
< 125.0 us	0	| 
< 127.5 us	7869	| *****************
< 129.9 us	14115	| ******************************
< 132.3 us	876	| *
< 134.8 us	33	| 
< 137.2 us	14	| 
< 139.6 us	3	| 
< 142.1 us	2	| 
< 144.5 us	0	| 
< 146.9 us	2	| 
< 149.4 us	1	| 
< 151.8 us	0	| 
< 154.2 us	0	| 
< 156.7 us	2	| 
< 159.1 us	0	| 
