>>> bench-local

*** neotest: node
date:	Mon, 05 Mar 2018 13:41:28 +0100
xnode:	test@neo1.kirr.nexedi.com (2001:67c:1254:e:d4::1 (+ 1·ipv6) 192.168.102.20)
uname:	Linux neo1 4.12.0-2-amd64 #1 SMP Debian 4.12.13-1 (2017-09-19) x86_64 GNU/Linux
cpu:	Intel(R) Core(TM) i7 CPU         860  @ 2.80GHz
cpu/[0-7]/freq: acpi-cpufreq/performance [2.80GHz - 2.80GHz]
cpu/[0-7]/idle: intel_idle/menu: POLL(0μs) C1(3μs) C1E(10μs) C3(20μs) C6(200μs)
WARNING: cpu: C-state exit-latency is max 200μs - up to that can add to networked and IPC request-reply latency
disk/sda: INTEL SSDSA2M080  rev 02HD 74.5G
nic/eth0: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 03
nic/eth0/features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
nic/eth0/coalesce: rxc: 200μs/4f/0μs-irq/0f-irq,  txc: 200μs/4f/0μs-irq/0f-irq
nic/eth0/status:   up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/eth0: TSO not enabled - TCP latency with packets > MSS will be poor
WARNING: nic/eth0: RX coalesce latency is max 200μs - that will add to networked request-reply latency
sw/python:          Python 2.7.14+
sw/go:              go version go1.10 linux/amd64
sw/sqlite:          sqlite 3.22.0 (py mod 2.6.0)
sw/mysqld:          mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
sw/neo:             v1.8-1589-g7c21fb9
sw/zodb:            5.3.0
sw/zeo:             5.1.1
sw/mysqlclient:     1.3.12
sw/wendelin.core:   0.11

*** cpu:

node:	neo1
cluster:
Benchmarkpystone 1 106105 pystone/s	# POLL·0 C1·1 C1E·1 C3·25 C6·256
Benchmarkpystone 1 106135 pystone/s	# POLL·0 C1·8 C1E·0 C3·37 C6·187
Benchmarkpystone 1 106913 pystone/s	# POLL·0 C1·7 C1E·6 C3·36 C6·285
Benchmarkpystone 1 106176 pystone/s	# POLL·0 C1·5 C1E·1 C3·21 C6·197
Benchmarkpystone 1 105523 pystone/s	# POLL·0 C1·13 C1E·0 C3·32 C6·218
Benchmarkadler32/py/2M 914	1193.901 µs/op	# POLL·0 C1·7 C1E·0 C3·29 C6·447
Benchmarkadler32/py/2M 916	1189.187 µs/op	# POLL·0 C1·31 C1E·1 C3·18 C6·570
Benchmarkadler32/py/2M 914	1194.576 µs/op	# POLL·0 C1·6 C1E·0 C3·26 C6·446
Benchmarkadler32/py/2M 916	1188.941 µs/op	# POLL·0 C1·2 C1E·3 C3·38 C6·451
Benchmarkadler32/py/2M 915	1190.818 µs/op	# POLL·0 C1·9 C1E·7 C3·23 C6·373
Benchmarkadler32/go/2M 1000	1544.417 µs/op	# POLL·1 C1·97 C1E·113 C3·52 C6·976
Benchmarkadler32/go/2M 1000	1544.097 µs/op	# POLL·0 C1·83 C1E·161 C3·71 C6·749
Benchmarkadler32/go/2M 1000	1549.925 µs/op	# POLL·5 C1·107 C1E·101 C3·111 C6·573
Benchmarkadler32/go/2M 1000	1549.023 µs/op	# POLL·1 C1·108 C1E·114 C3·58 C6·705
Benchmarkadler32/go/2M 1000	1552.994 µs/op	# POLL·1 C1·113 C1E·75 C3·61 C6·880
Benchmarkcrc32/py/1K 609100	1.841 µs/op	# POLL·1 C1·27 C1E·3 C3·17 C6·346
Benchmarkcrc32/py/1K 618420	1.829 µs/op	# POLL·0 C1·10 C1E·0 C3·31 C6·297
Benchmarkcrc32/py/1K 628595	1.778 µs/op	# POLL·1 C1·19 C1E·0 C3·13 C6·224
Benchmarkcrc32/py/1K 618974	1.822 µs/op	# POLL·0 C1·28 C1E·3 C3·12 C6·350
Benchmarkcrc32/py/1K 614464	1.843 µs/op	# POLL·0 C1·5 C1E·1 C3·30 C6·263
Benchmarkcrc32/go/1K 2000000	0.730 µs/op	# POLL·2 C1·127 C1E·84 C3·85 C6·859
Benchmarkcrc32/go/1K 2000000	0.726 µs/op	# POLL·2 C1·116 C1E·78 C3·95 C6·812
Benchmarkcrc32/go/1K 2000000	0.726 µs/op	# POLL·7 C1·139 C1E·77 C3·89 C6·818
Benchmarkcrc32/go/1K 2000000	0.726 µs/op	# POLL·0 C1·135 C1E·76 C3·72 C6·714
Benchmarkcrc32/go/1K 2000000	0.726 µs/op	# POLL·5 C1·111 C1E·82 C3·91 C6·740
Benchmarkcrc32/py/4K 197443	5.122 µs/op	# POLL·0 C1·7 C1E·0 C3·21 C6·320
Benchmarkcrc32/py/4K 197275	5.128 µs/op	# POLL·0 C1·27 C1E·0 C3·14 C6·337
Benchmarkcrc32/py/4K 196789	5.166 µs/op	# POLL·0 C1·17 C1E·5 C3·22 C6·369
Benchmarkcrc32/py/4K 197100	5.139 µs/op	# POLL·0 C1·6 C1E·1 C3·19 C6·307
Benchmarkcrc32/py/4K 197788	5.114 µs/op	# POLL·0 C1·7 C1E·0 C3·20 C6·342
Benchmarkcrc32/go/4K 500000	2.785 µs/op	# POLL·1 C1·105 C1E·84 C3·88 C6·848
Benchmarkcrc32/go/4K 500000	2.789 µs/op	# POLL·1 C1·87 C1E·97 C3·99 C6·904
Benchmarkcrc32/go/4K 500000	2.785 µs/op	# POLL·5 C1·136 C1E·81 C3·82 C6·504
Benchmarkcrc32/go/4K 500000	2.787 µs/op	# POLL·0 C1·118 C1E·74 C3·81 C6·479
Benchmarkcrc32/go/4K 500000	2.785 µs/op	# POLL·2 C1·91 C1E·71 C3·86 C6·484
Benchmarkcrc32/py/2M 317	2988.318 µs/op	# POLL·0 C1·22 C1E·0 C3·22 C6·273
Benchmarkcrc32/py/2M 322	2948.223 µs/op	# POLL·3 C1·10 C1E·5 C3·79 C6·449
Benchmarkcrc32/py/2M 321	2942.441 µs/op	# POLL·0 C1·27 C1E·6 C3·18 C6·408
Benchmarkcrc32/py/2M 323	2925.183 µs/op	# POLL·0 C1·14 C1E·0 C3·14 C6·238
Benchmarkcrc32/py/2M 319	2968.580 µs/op	# POLL·0 C1·7 C1E·4 C3·29 C6·309
Benchmarkcrc32/go/2M 1000	1465.122 µs/op	# POLL·2 C1·83 C1E·107 C3·48 C6·595
Benchmarkcrc32/go/2M 1000	1464.844 µs/op	# POLL·2 C1·115 C1E·102 C3·63 C6·994
Benchmarkcrc32/go/2M 1000	1466.380 µs/op	# POLL·0 C1·101 C1E·73 C3·64 C6·639
Benchmarkcrc32/go/2M 1000	1465.734 µs/op	# POLL·0 C1·155 C1E·105 C3·70 C6·938
Benchmarkcrc32/go/2M 1000	1465.709 µs/op	# POLL·3 C1·71 C1E·103 C3·73 C6·634
Benchmarksha1/py/1K 432371	2.673 µs/op	# POLL·1 C1·41 C1E·0 C3·19 C6·316
Benchmarksha1/py/1K 436018	2.621 µs/op	# POLL·0 C1·3 C1E·1 C3·26 C6·266
Benchmarksha1/py/1K 429280	2.688 µs/op	# POLL·0 C1·18 C1E·2 C3·21 C6·368
Benchmarksha1/py/1K 438173	2.601 µs/op	# POLL·0 C1·25 C1E·0 C3·24 C6·340
Benchmarksha1/py/1K 432088	2.675 µs/op	# POLL·1 C1·10 C1E·2 C3·21 C6·217
Benchmarksha1/go/1K 500000	2.468 µs/op	# POLL·2 C1·108 C1E·83 C3·79 C6·626
Benchmarksha1/go/1K 500000	2.464 µs/op	# POLL·5 C1·112 C1E·71 C3·80 C6·718
Benchmarksha1/go/1K 500000	2.465 µs/op	# POLL·2 C1·123 C1E·88 C3·75 C6·307
Benchmarksha1/go/1K 500000	2.467 µs/op	# POLL·7 C1·131 C1E·57 C3·65 C6·454
Benchmarksha1/go/1K 500000	2.466 µs/op	# POLL·4 C1·114 C1E·78 C3·59 C6·502
Benchmarksha1/py/4K 121403	13.561 µs/op	# POLL·1 C1·17 C1E·2 C3·20 C6·363
Benchmarksha1/py/4K 121899	13.439 µs/op	# POLL·0 C1·0 C1E·8 C3·16 C6·308
Benchmarksha1/py/4K 121648	13.511 µs/op	# POLL·0 C1·13 C1E·0 C3·13 C6·352
Benchmarksha1/py/4K 122191	13.385 µs/op	# POLL·0 C1·5 C1E·0 C3·30 C6·322
Benchmarksha1/py/4K 121604	13.524 µs/op	# POLL·0 C1·27 C1E·6 C3·14 C6·341
Benchmarksha1/go/4K 200000	9.859 µs/op	# POLL·0 C1·125 C1E·91 C3·95 C6·944
Benchmarksha1/go/4K 200000	9.853 µs/op	# POLL·3 C1·123 C1E·77 C3·61 C6·672
Benchmarksha1/go/4K 200000	9.804 µs/op	# POLL·1 C1·116 C1E·71 C3·72 C6·728
Benchmarksha1/go/4K 200000	9.811 µs/op	# POLL·5 C1·112 C1E·85 C3·70 C6·676
Benchmarksha1/go/4K 200000	9.815 µs/op	# POLL·7 C1·129 C1E·76 C3·57 C6·631
Benchmarksha1/py/2M 207	5744.240 µs/op	# POLL·1 C1·2 C1E·0 C3·30 C6·330
Benchmarksha1/py/2M 212	5630.416 µs/op	# POLL·0 C1·38 C1E·1 C3·11 C6·313
Benchmarksha1/py/2M 210	5646.478 µs/op	# POLL·0 C1·24 C1E·1 C3·15 C6·292
Benchmarksha1/py/2M 210	5700.466 µs/op	# POLL·0 C1·13 C1E·2 C3·14 C6·262
Benchmarksha1/py/2M 211	5629.184 µs/op	# POLL·0 C1·17 C1E·0 C3·12 C6·285
Benchmarksha1/go/2M 300	5028.496 µs/op	# POLL·0 C1·47 C1E·79 C3·76 C6·679
Benchmarksha1/go/2M 300	5027.992 µs/op	# POLL·2 C1·68 C1E·72 C3·80 C6·723
Benchmarksha1/go/2M 300	5036.623 µs/op	# POLL·4 C1·134 C1E·76 C3·114 C6·982
Benchmarksha1/go/2M 300	5022.179 µs/op	# POLL·3 C1·111 C1E·68 C3·69 C6·1202
Benchmarksha1/go/2M 300	5030.257 µs/op	# POLL·2 C1·88 C1E·63 C3·76 C6·513
Benchmarkunzlib/py/null-1K 328972	3.677 µs/op	# POLL·1 C1·14 C1E·5 C3·20 C6·371
Benchmarkunzlib/py/null-1K 330170	3.655 µs/op	# POLL·0 C1·4 C1E·3 C3·20 C6·292
Benchmarkunzlib/py/null-1K 335409	3.553 µs/op	# POLL·3 C1·13 C1E·3 C3·19 C6·309
Benchmarkunzlib/py/null-1K 330980	3.652 µs/op	# POLL·0 C1·15 C1E·0 C3·14 C6·291
Benchmarkunzlib/py/null-1K 331355	3.658 µs/op	# POLL·0 C1·21 C1E·2 C3·22 C6·376
Benchmarkunzlib/go/null-1K 500000	3.233 µs/op	# POLL·2 C1·185 C1E·441 C3·163 C6·2490
Benchmarkunzlib/go/null-1K 500000	3.237 µs/op	# POLL·2 C1·199 C1E·327 C3·125 C6·2634
Benchmarkunzlib/go/null-1K 500000	3.331 µs/op	# POLL·4 C1·177 C1E·287 C3·121 C6·2723
Benchmarkunzlib/go/null-1K 500000	3.317 µs/op	# POLL·3 C1·210 C1E·270 C3·125 C6·2567
Benchmarkunzlib/go/null-1K 500000	3.355 µs/op	# POLL·1 C1·155 C1E·363 C3·126 C6·2658
Benchmarkunzlib/py/null-4K 83196	13.002 µs/op	# POLL·0 C1·5 C1E·4 C3·37 C6·298
Benchmarkunzlib/py/null-4K 83838	12.800 µs/op	# POLL·1 C1·4 C1E·2 C3·23 C6·370
Benchmarkunzlib/py/null-4K 83645	12.851 µs/op	# POLL·0 C1·35 C1E·0 C3·19 C6·318
Benchmarkunzlib/py/null-4K 83574	12.882 µs/op	# POLL·0 C1·6 C1E·1 C3·25 C6·368
Benchmarkunzlib/py/null-4K 83804	12.800 µs/op	# POLL·1 C1·16 C1E·6 C3·18 C6·367
Benchmarkunzlib/go/null-4K 100000	13.019 µs/op	# POLL·1 C1·162 C1E·337 C3·145 C6·2229
Benchmarkunzlib/go/null-4K 100000	13.055 µs/op	# POLL·5 C1·168 C1E·313 C3·105 C6·2231
Benchmarkunzlib/go/null-4K 100000	12.988 µs/op	# POLL·6 C1·114 C1E·280 C3·109 C6·2353
Benchmarkunzlib/go/null-4K 100000	12.937 µs/op	# POLL·8 C1·160 C1E·277 C3·100 C6·2262
Benchmarkunzlib/go/null-4K 100000	13.221 µs/op	# POLL·1 C1·180 C1E·298 C3·122 C6·2179
Benchmarkunzlib/py/null-2M 175	6270.630 µs/op	# POLL·1 C1·33 C1E·1 C3·14 C6·336
Benchmarkunzlib/py/null-2M 175	6299.607 µs/op	# POLL·0 C1·15 C1E·4 C3·30 C6·274
Benchmarkunzlib/py/null-2M 174	6321.326 µs/op	# POLL·0 C1·25 C1E·8 C3·16 C6·330
Benchmarkunzlib/py/null-2M 173	6401.540 µs/op	# POLL·0 C1·24 C1E·1 C3·27 C6·540
Benchmarkunzlib/py/null-2M 174	6333.680 µs/op	# POLL·0 C1·9 C1E·1 C3·31 C6·322
Benchmarkunzlib/go/null-2M 300	5276.517 µs/op	# POLL·49 C1·514 C1E·6509 C3·466 C6·5530
Benchmarkunzlib/go/null-2M 300	5268.794 µs/op	# POLL·50 C1·618 C1E·6434 C3·519 C6·5473
Benchmarkunzlib/go/null-2M 300	5272.909 µs/op	# POLL·49 C1·539 C1E·6434 C3·512 C6·5562
Benchmarkunzlib/go/null-2M 300	5269.753 µs/op	# POLL·55 C1·554 C1E·6411 C3·508 C6·5379
Benchmarkunzlib/go/null-2M 300	5280.908 µs/op	# POLL·44 C1·610 C1E·6433 C3·463 C6·5495
Benchmarkunzlib/py/wczdata 33149	36.265 µs/op	# POLL·0 C1·19 C1E·7 C3·9 C6·350
Benchmarkunzlib/py/wczdata 33341	35.923 µs/op	# POLL·0 C1·6 C1E·0 C3·27 C6·344
Benchmarkunzlib/py/wczdata 33094	36.383 µs/op	# POLL·0 C1·33 C1E·1 C3·20 C6·345
Benchmarkunzlib/py/wczdata 33141	36.068 µs/op	# POLL·1 C1·31 C1E·2 C3·66 C6·956
Benchmarkunzlib/py/wczdata 33135	36.340 µs/op	# POLL·0 C1·14 C1E·0 C3·24 C6·304
Benchmarkunzlib/go/wczdata 50000	31.119 µs/op	# POLL·1 C1·123 C1E·171 C3·104 C6·1709
Benchmarkunzlib/go/wczdata 50000	31.054 µs/op	# POLL·4 C1·163 C1E·217 C3·102 C6·1846
Benchmarkunzlib/go/wczdata 50000	31.421 µs/op	# POLL·3 C1·126 C1E·227 C3·117 C6·1949
Benchmarkunzlib/go/wczdata 50000	31.406 µs/op	# POLL·0 C1·132 C1E·286 C3·89 C6·1904
Benchmarkunzlib/go/wczdata 50000	31.164 µs/op	# POLL·3 C1·140 C1E·224 C3·78 C6·1969
Benchmarkunzlib/py/prod1-avg 111316	16.083 µs/op	# POLL·0 C1·27 C1E·3 C3·23 C6·324
Benchmarkunzlib/py/prod1-avg 110326	16.379 µs/op	# POLL·1 C1·30 C1E·1 C3·16 C6·331
Benchmarkunzlib/py/prod1-avg 110305	16.380 µs/op	# POLL·0 C1·9 C1E·8 C3·18 C6·369
Benchmarkunzlib/py/prod1-avg 110133	16.319 µs/op	# POLL·1 C1·16 C1E·1 C3·19 C6·355
Benchmarkunzlib/py/prod1-avg 109082	16.678 µs/op	# POLL·1 C1·34 C1E·2 C3·14 C6·376
Benchmarkunzlib/go/prod1-avg 200000	9.451 µs/op	# POLL·1 C1·92 C1E·224 C3·113 C6·1928
Benchmarkunzlib/go/prod1-avg 200000	9.392 µs/op	# POLL·5 C1·108 C1E·344 C3·91 C6·1914
Benchmarkunzlib/go/prod1-avg 200000	9.439 µs/op	# POLL·1 C1·156 C1E·173 C3·116 C6·1871
Benchmarkunzlib/go/prod1-avg 200000	9.392 µs/op	# POLL·2 C1·169 C1E·165 C3·111 C6·1834
Benchmarkunzlib/go/prod1-avg 200000	9.408 µs/op	# POLL·4 C1·148 C1E·206 C3·102 C6·1919
Benchmarkunzlib/py/prod1-max 2169	501.493 µs/op	# POLL·0 C1·31 C1E·2 C3·21 C6·310
Benchmarkunzlib/py/prod1-max 2164	504.183 µs/op	# POLL·0 C1·16 C1E·6 C3·16 C6·328
Benchmarkunzlib/py/prod1-max 2178	500.159 µs/op	# POLL·0 C1·7 C1E·0 C3·29 C6·284
Benchmarkunzlib/py/prod1-max 2164	503.552 µs/op	# POLL·0 C1·7 C1E·3 C3·24 C6·328
Benchmarkunzlib/py/prod1-max 2183	499.316 µs/op	# POLL·0 C1·29 C1E·0 C3·19 C6·300
Benchmarkunzlib/go/prod1-max 5000	377.600 µs/op	# POLL·0 C1·168 C1E·333 C3·138 C6·2749
Benchmarkunzlib/go/prod1-max 5000	378.623 µs/op	# POLL·2 C1·212 C1E·693 C3·117 C6·2214
Benchmarkunzlib/go/prod1-max 5000	377.243 µs/op	# POLL·1 C1·153 C1E·339 C3·119 C6·2339
Benchmarkunzlib/go/prod1-max 5000	379.901 µs/op	# POLL·4 C1·164 C1E·454 C3·154 C6·2336
Benchmarkunzlib/go/prod1-max 5000	377.853 µs/op	# POLL·3 C1·131 C1E·277 C3·136 C6·2307
node:	neo1
cluster:

*** disk: random direct (no kernel cache) 4K-read latency

--- . (ext4 /dev/sda1) ioping statistics ---
15.9 k requests completed in 2.96 s, 62.1 MiB read, 5.37 k iops, 21.0 MiB/s
generated 15.9 k requests in 3.00 s, 62.1 MiB, 5.30 k iops, 20.7 MiB/s
min/avg/max/mdev = 160.9 us / 186.3 us / 310.3 us / 10.5 us
Benchmarkdisk/randread/direct/4K-min 1 160.9 us/op
Benchmarkdisk/randread/direct/4K-avg 1 186.3 us/op
< 160.9 us	0	| 
< 164.5 us	217	| 
< 168.0 us	76	| 
< 171.5 us	16	| 
< 175.0 us	61	| 
< 178.5 us	1228	| ***
< 182.0 us	6077	| *******************
< 185.6 us	288	| 
< 189.1 us	47	| 
< 192.6 us	4802	| ***************
< 196.1 us	2665	| ********
< 199.6 us	50	| 
< 203.2 us	22	| 
< 206.7 us	21	| 
< 210.2 us	7	| 
< 213.7 us	7	| 
< 217.2 us	37	| 
< 220.7 us	18	| 
< 224.3 us	12	| 
< 227.8 us	11	| 
< 231.3 us	31	| 
<       +∞	116	| 
# POLL·252 C1·262643 C1E·55344 C3·451 C6·2881

--- . (ext4 /dev/sda1) ioping statistics ---
15.8 k requests completed in 2.96 s, 61.9 MiB read, 5.34 k iops, 20.9 MiB/s
generated 15.8 k requests in 3.00 s, 61.9 MiB, 5.28 k iops, 20.6 MiB/s
min/avg/max/mdev = 161.0 us / 187.1 us / 545.4 us / 11.5 us
Benchmarkdisk/randread/direct/4K-min 1 161.0 us/op
Benchmarkdisk/randread/direct/4K-avg 1 187.1 us/op
< 161.2 us	2	| 
< 169.6 us	266	| 
< 178.0 us	280	| 
< 186.3 us	7376	| ***********************
< 194.7 us	7089	| **********************
< 203.1 us	393	| *
< 211.5 us	41	| 
< 219.8 us	73	| 
< 228.2 us	33	| 
< 236.6 us	90	| 
< 244.9 us	14	| 
< 253.3 us	10	| 
< 261.7 us	13	| 
< 270.1 us	8	| 
< 278.4 us	19	| 
< 286.8 us	11	| 
< 295.2 us	11	| 
< 303.6 us	5	| 
< 311.9 us	7	| 
< 320.3 us	2	| 
< 328.7 us	1	| 
<       +∞	2	| 
# POLL·0 C1·594 C1E·15100 C3·243 C6·368

--- . (ext4 /dev/sda1) ioping statistics ---
15.9 k requests completed in 2.97 s, 62.2 MiB read, 5.37 k iops, 21.0 MiB/s
generated 15.9 k requests in 3.00 s, 62.2 MiB, 5.30 k iops, 20.7 MiB/s
min/avg/max/mdev = 160.9 us / 186.4 us / 621.4 us / 10.9 us
Benchmarkdisk/randread/direct/4K-min 1 160.9 us/op
Benchmarkdisk/randread/direct/4K-avg 1 186.4 us/op
< 160.9 us	0	| 
< 171.0 us	165	| 
< 181.2 us	7071	| **********************
< 191.3 us	3140	| *********
< 201.5 us	5202	| ****************
< 211.6 us	38	| 
< 221.7 us	48	| 
< 231.9 us	50	| 
< 242.0 us	18	| 
< 252.1 us	11	| 
< 262.3 us	14	| 
< 272.4 us	20	| 
< 282.5 us	12	| 
< 292.7 us	14	| 
< 302.8 us	7	| 
< 313.0 us	0	| 
< 323.1 us	0	| 
< 333.2 us	2	| 
< 343.4 us	0	| 
< 353.5 us	0	| 
< 363.6 us	1	| 
<       +∞	2	| 
# POLL·1 C1·431 C1E·15411 C3·124 C6·296

--- . (ext4 /dev/sda1) ioping statistics ---
15.9 k requests completed in 2.97 s, 62.0 MiB read, 5.35 k iops, 20.9 MiB/s
generated 15.9 k requests in 3.00 s, 62.0 MiB, 5.29 k iops, 20.7 MiB/s
min/avg/max/mdev = 161.1 us / 186.9 us / 1.37 ms / 16.7 us
Benchmarkdisk/randread/direct/4K-min 1 161.1 us/op
Benchmarkdisk/randread/direct/4K-avg 1 186.9 us/op
< 161.3 us	18	| 
< 167.5 us	323	| *
< 173.6 us	57	| 
< 179.8 us	2862	| *********
< 185.9 us	4776	| ***************
< 192.1 us	2739	| ********
< 198.2 us	4604	| **************
< 204.4 us	73	| 
< 210.6 us	25	| 
< 216.7 us	41	| 
< 222.9 us	55	| 
< 229.0 us	37	| 
< 235.2 us	41	| 
< 241.3 us	12	| 
< 247.5 us	6	| 
< 253.6 us	6	| 
< 259.8 us	15	| 
< 265.9 us	9	| 
< 272.1 us	6	| 
< 278.3 us	13	| 
< 284.4 us	14	| 
<       +∞	37	| 
# POLL·4 C1·777 C1E·14936 C3·246 C6·322

--- . (ext4 /dev/sda1) ioping statistics ---
15.8 k requests completed in 2.97 s, 61.6 MiB read, 5.31 k iops, 20.8 MiB/s
generated 15.8 k requests in 3.00 s, 61.6 MiB, 5.25 k iops, 20.5 MiB/s
min/avg/max/mdev = 161.3 us / 188.2 us / 1.48 ms / 17.6 us
Benchmarkdisk/randread/direct/4K-min 1 161.3 us/op
Benchmarkdisk/randread/direct/4K-avg 1 188.2 us/op
< 161.6 us	6	| 
< 169.2 us	415	| *
< 176.7 us	183	| 
< 184.2 us	7080	| **********************
< 191.8 us	2383	| *******
< 199.3 us	4524	| **************
< 206.9 us	89	| 
< 214.4 us	80	| 
< 221.9 us	393	| *
< 229.5 us	110	| 
< 237.0 us	282	| 
< 244.5 us	30	| 
< 252.1 us	5	| 
< 259.6 us	9	| 
< 267.2 us	10	| 
< 274.7 us	16	| 
< 282.2 us	7	| 
< 289.8 us	8	| 
< 297.3 us	10	| 
< 304.8 us	7	| 
< 312.4 us	2	| 
<       +∞	8	| 
# POLL·2 C1·1108 C1E·13769 C3·131 C6·1171

*** disk: random direct (no kernel cache) 2M-read latency

--- . (ext4 /dev/sda1) ioping statistics ---
312 requests completed in 2.99 s, 624 MiB read, 104 iops, 208.5 MiB/s
generated 313 requests in 3.00 s, 626 MiB, 104 iops, 208.5 MiB/s
min/avg/max/mdev = 7.82 ms / 9.59 ms / 11.9 ms / 1.67 ms
Benchmarkdisk/randread/direct/2M-min 1 7.82 ms/op
Benchmarkdisk/randread/direct/2M-avg 1 9.59 ms/op
< 7.82 ms	0	| 
< 8.02 ms	104	| ****************
< 8.22 ms	2	| 
< 8.42 ms	0	| 
< 8.62 ms	0	| 
< 8.82 ms	0	| 
< 9.03 ms	0	| 
< 9.23 ms	1	| 
< 9.43 ms	0	| 
< 9.63 ms	0	| 
< 9.83 ms	0	| 
< 10.0 ms	0	| 
