>>> bench-local

*** neotest: node
date:	Mon, 05 Mar 2018 13:49:57 +0300
xnode:	kirr@deco.navytux.spb.ru (2401:5180:0:37::1 192.168.0.2)
uname:	Linux deco 4.15.0-1-amd64 #1 SMP Debian 4.15.4-1 (2018-02-18) x86_64 GNU/Linux
cpu:	Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz
cpu/[0-3]/freq: intel_pstate/performance [2.60GHz - 2.60GHz]
cpu/[0-3]/idle: intel_idle/menu: POLL(0μs) C1(2μs) C1E(10μs) C3(70μs) C6(85μs) C7s(124μs) C8(200μs) C9(480μs) C10(890μs)
WARNING: cpu: C-state exit-latency is max 890μs - up to that can add to networked and IPC request-reply latency
disk/sda: SanDisk X400 M.2  rev 0012  477G
nic/eth0: Intel Corporation Ethernet Connection I219-LM rev 21
nic/eth0/features: rx tx sg tso !ufo gso gro !lro rxvlan txvlan !ntuple rxhash ...
nic/eth0/coalesce: rxc: 3μs/0f/0μs-irq/0f-irq,  txc: 0μs/0f/0μs-irq/0f-irq
nic/eth0/status:   up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
nic/wlan0: Intel Corporation Wireless 8260 rev 3a
nic/wlan0/features: !rx !tx sg !tso !ufo gso gro !lro !rxvlan !txvlan !ntuple !rxhash ...
nic/wlan0/coalesce: rxc: ?,  txc: ?
nic/wlan0/status:   down, speed=?, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/wlan0: TSO not enabled - TCP latency with packets > MSS will be poor
sw/python:          Python 2.7.14
sw/go:              go version go1.10 linux/amd64
sw/sqlite:          sqlite 3.22.0 (py mod 2.6.0)
sw/mysqld:          mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
sw/neo:             v1.8.1-1579-g916782b6-dirty
sw/zodb:            5.3.0-12-g2115c90aa
sw/zeo:             5.1.1-7-gf9e4442d
sw/mysqlclient:     1.3.12
sw/wendelin.core:   v0.11-15-gf785ac0

*** cpu:

node:	deco
cluster:
Benchmarkpystone 1 218772 pystone/s	# POLL·0 C1·1 C1E·3 C3·13 C6·34 C7s·0 C8·61 C9·0 C10·4
Benchmarkpystone 1 219149 pystone/s	# POLL·0 C1·2 C1E·0 C3·4 C6·43 C7s·0 C8·63 C9·0 C10·17
Benchmarkpystone 1 221405 pystone/s	# POLL·0 C1·0 C1E·2 C3·9 C6·51 C7s·0 C8·57 C9·0 C10·5
Benchmarkpystone 1 223209 pystone/s	# POLL·1 C1·1 C1E·6 C3·9 C6·49 C7s·0 C8·56 C9·0 C10·4
Benchmarkpystone 1 213764 pystone/s	# POLL·0 C1·3 C1E·3 C3·12 C6·44 C7s·0 C8·70 C9·0 C10·9
Benchmarkunzlib/py/null-4K 93635	11.407 µs/op	# POLL·1 C1·3 C1E·26 C3·13 C6·59 C7s·0 C8·104 C9·0 C10·120
Benchmarkunzlib/py/null-4K 93862	11.335 µs/op	# POLL·0 C1·2 C1E·10 C3·7 C6·49 C7s·0 C8·139 C9·0 C10·133
Benchmarkunzlib/py/null-4K 94110	11.289 µs/op	# POLL·0 C1·0 C1E·7 C3·11 C6·51 C7s·0 C8·99 C9·0 C10·91
Benchmarkunzlib/go/null-4K 200000	11.408 µs/op	# POLL·0 C1·186 C1E·349 C3·53 C6·291 C7s·2 C8·1448 C9·0 C10·486
Benchmarkunzlib/go/null-4K 200000	11.389 µs/op	# POLL·0 C1·344 C1E·192 C3·38 C6·181 C7s·0 C8·1396 C9·0 C10·392
Benchmarkunzlib/go/null-4K 200000	11.404 µs/op	# POLL·1 C1·283 C1E·251 C3·42 C6·237 C7s·0 C8·1495 C9·0 C10·391
Benchmarkunzlib/go/null-4K 200000	11.406 µs/op	# POLL·2 C1·244 C1E·199 C3·52 C6·223 C7s·0 C8·1469 C9·0 C10·411
Benchmarkunzlib/go/null-4K 200000	11.415 µs/op	# POLL·0 C1·262 C1E·275 C3·45 C6·282 C7s·0 C8·1590 C9·0 C10·424
Benchmarkunzlib/py/null-2M 190	5518.233 µs/op	# POLL·0 C1·2 C1E·18 C3·13 C6·48 C7s·0 C8·254 C9·0 C10·145
Benchmarkunzlib/py/null-2M 178	5632.484 µs/op	# POLL·1 C1·0 C1E·24 C3·19 C6·63 C7s·0 C8·145 C9·0 C10·71
Benchmarkunzlib/py/null-2M 179	5852.904 µs/op	# POLL·0 C1·0 C1E·6 C3·10 C6·46 C7s·2 C8·98 C9·0 C10·64
Benchmarkunzlib/py/null-2M 178	5501.062 µs/op	# POLL·0 C1·2 C1E·17 C3·13 C6·64 C7s·0 C8·109 C9·0 C10·133
Benchmarkunzlib/py/null-2M 182	5814.457 µs/op	# POLL·0 C1·1 C1E·8 C3·7 C6·49 C7s·0 C8·95 C9·0 C10·74
Benchmarkunzlib/go/null-2M 300	4796.651 µs/op	# POLL·36 C1·1170 C1E·2306 C3·33 C6·238 C7s·3 C8·1986 C9·0 C10·213
Benchmarkunzlib/go/null-2M 300	4796.061 µs/op	# POLL·35 C1·1427 C1E·2277 C3·45 C6·194 C7s·1 C8·1809 C9·0 C10·167
Benchmarkunzlib/go/null-2M 300	4794.596 µs/op	# POLL·36 C1·1590 C1E·2223 C3·42 C6·169 C7s·0 C8·1844 C9·0 C10·147
Benchmarkunzlib/go/null-2M 300	4798.176 µs/op	# POLL·40 C1·1378 C1E·2345 C3·22 C6·155 C7s·0 C8·1856 C9·0 C10·140
Benchmarkunzlib/go/null-2M 300	4788.673 µs/op	# POLL·36 C1·1490 C1E·2180 C3·31 C6·127 C7s·0 C8·1798 C9·0 C10·153
Benchmarkunzlib/py/wczdata 37325	27.931 µs/op	# POLL·0 C1·0 C1E·4 C3·13 C6·42 C7s·1 C8·93 C9·0 C10·51
Benchmarkunzlib/py/wczdata 38361	27.187 µs/op	# POLL·0 C1·0 C1E·4 C3·9 C6·48 C7s·0 C8·110 C9·0 C10·65
Benchmarkunzlib/py/wczdata 38323	27.185 µs/op	# POLL·0 C1·1 C1E·5 C3·11 C6·50 C7s·0 C8·120 C9·0 C10·173
Benchmarkunzlib/py/wczdata 38384	27.163 µs/op	# POLL·0 C1·196 C1E·30 C3·20 C6·115 C7s·2 C8·192 C9·0 C10·166
Benchmarkunzlib/py/wczdata 38386	27.225 µs/op	# POLL·0 C1·68 C1E·26 C3·24 C6·76 C7s·0 C8·271 C9·0 C10·274
Benchmarkunzlib/go/wczdata 50000	27.076 µs/op	# POLL·2 C1·448 C1E·323 C3·156 C6·608 C7s·0 C8·932 C9·0 C10·302
Benchmarkunzlib/go/wczdata 50000	26.820 µs/op	# POLL·0 C1·143 C1E·153 C3·14 C6·122 C7s·0 C8·380 C9·0 C10·410
Benchmarkunzlib/go/wczdata 50000	26.903 µs/op	# POLL·2 C1·111 C1E·169 C3·36 C6·132 C7s·0 C8·539 C9·0 C10·374
Benchmarkunzlib/go/wczdata 50000	26.910 µs/op	# POLL·2 C1·99 C1E·146 C3·31 C6·136 C7s·0 C8·490 C9·0 C10·415
Benchmarkunzlib/go/wczdata 50000	26.776 µs/op	# POLL·1 C1·126 C1E·97 C3·34 C6·110 C7s·0 C8·378 C9·0 C10·409
Benchmarkunzlib/py/prod1-avg 182004	5.560 µs/op	# POLL·0 C1·0 C1E·5 C3·6 C6·45 C7s·1 C8·121 C9·0 C10·75
Benchmarkunzlib/py/prod1-avg 198729	5.059 µs/op	# POLL·0 C1·3 C1E·9 C3·14 C6·36 C7s·0 C8·107 C9·0 C10·159
Benchmarkunzlib/py/prod1-avg 199403	5.039 µs/op	# POLL·0 C1·29 C1E·13 C3·5 C6·68 C7s·0 C8·148 C9·0 C10·209
Benchmarkunzlib/py/prod1-avg 198544	5.078 µs/op	# POLL·0 C1·6 C1E·38 C3·26 C6·143 C7s·0 C8·420 C9·0 C10·358
Benchmarkunzlib/py/prod1-avg 198357	5.081 µs/op	# POLL·2 C1·20 C1E·77 C3·37 C6·117 C7s·0 C8·736 C9·0 C10·256
Benchmarkunzlib/go/prod1-avg 300000	5.340 µs/op	# POLL·2 C1·304 C1E·146 C3·65 C6·321 C7s·0 C8·1152 C9·0 C10·311
Benchmarkunzlib/go/prod1-avg 300000	5.300 µs/op	# POLL·1 C1·182 C1E·161 C3·28 C6·216 C7s·0 C8·1021 C9·0 C10·333
Benchmarkunzlib/go/prod1-avg 300000	5.350 µs/op	# POLL·2 C1·265 C1E·152 C3·52 C6·338 C7s·0 C8·1317 C9·0 C10·270
Benchmarkunzlib/go/prod1-avg 300000	5.335 µs/op	# POLL·0 C1·155 C1E·125 C3·51 C6·317 C7s·0 C8·1189 C9·0 C10·313
Benchmarkunzlib/go/prod1-avg 300000	5.315 µs/op	# POLL·1 C1·159 C1E·125 C3·30 C6·216 C7s·0 C8·839 C9·0 C10·333
Benchmarkunzlib/py/prod1-max 3073	422.813 µs/op	# POLL·0 C1·0 C1E·5 C3·10 C6·45 C7s·0 C8·108 C9·0 C10·67
Benchmarkunzlib/py/prod1-max 2128	457.943 µs/op	# POLL·0 C1·2 C1E·6 C3·18 C6·53 C7s·0 C8·101 C9·0 C10·83
Benchmarkunzlib/py/prod1-max 2202	443.849 µs/op	# POLL·1 C1·11 C1E·13 C3·14 C6·69 C7s·0 C8·284 C9·0 C10·313
Benchmarkunzlib/py/prod1-max 2202	442.627 µs/op	# POLL·0 C1·0 C1E·2 C3·12 C6·64 C7s·0 C8·123 C9·0 C10·88
