>>> bench-local
# Wed, 28 Feb 2018 14:05:12 +0200
# neotest@z600.ivan.nexedi.com (2401:5180:0:10::1 192.168.0.5 (+ 1·ipv4))
# Linux z600-COMP-2717 4.13.0-36-generic #40-Ubuntu SMP Fri Feb 16 20:07:48 UTC 2018 x86_64 x86_64 x86_64 GNU/Linux
# cpu: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz
# cpu[0-11]: freq: acpi-cpufreq/performance [2.66GHz - 2.66GHz]
# cpu[0-11]: idle: intel_idle/menu: POLL(0μs) C1(3μs) C1E(10μs) C3(20μs) C6(200μs)
# cpu: WARNING: C-state exit-latency is max 200μs - up to that can add to networked and IPC request-reply latency
# sda: INTEL SSDSC2CT18  rev 335t 167.7G
# enp1s0: Broadcom Limited NetXtreme BCM5764M Gigabit Ethernet PCIe rev 10
# enp1s0: features: rx tx sg tso !ufo gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# enp1s0: coalesce: rxc: 20μs/5f/0μs-irq/5f-irq,  txc: 72μs/53f/0μs-irq/5f-irq
# enp1s0: up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# enp1s0: WARNING: RX coalesce latency is max 20μs - that will add to networked request-reply latency
# Python 2.7.12
# go version go1.10 linux/amd64
# sqlite 3.22.0 (py mod 2.6.0)
# mysqld  Ver 10.1.25-MariaDB-1 for debian-linux-gnu on x86_64 (Ubuntu 17.10)
# neo             : v1.8-1563-gfe8fd50-dirty
# zodb            : 5.3.0
# zeo             : 5.1.1
# mysqlclient     : 1.3.12
# wendelin.core   : 0.11

*** cpu:

Benchmarkz600-COMP-2717/pystone 1 114934 pystone/s	# POLL·0 C1·26 C1E·1 C3·26 C6·211
Benchmarkz600-COMP-2717/pystone 1 114526 pystone/s	# POLL·0 C1·36 C1E·1 C3·20 C6·206
Benchmarkz600-COMP-2717/pystone 1 114001 pystone/s	# POLL·0 C1·38 C1E·1 C3·32 C6·305
Benchmarkz600-COMP-2717/pystone 1 113904 pystone/s	# POLL·0 C1·36 C1E·2 C3·6 C6·219
Benchmarkz600-COMP-2717/pystone 1 114154 pystone/s	# POLL·0 C1·41 C1E·0 C3·21 C6·208
Benchmarkz600-COMP-2717/adler32/go/4K 500000	3.198 µs/op	# POLL·2 C1·86 C1E·109 C3·75 C6·541
Benchmarkz600-COMP-2717/adler32/go/4K 500000	3.217 µs/op	# POLL·1 C1·87 C1E·102 C3·67 C6·397
Benchmarkz600-COMP-2717/adler32/go/4K 500000	3.221 µs/op	# POLL·3 C1·99 C1E·140 C3·66 C6·412
Benchmarkz600-COMP-2717/adler32/go/4K 500000	3.217 µs/op	# POLL·1 C1·77 C1E·101 C3·80 C6·408
Benchmarkz600-COMP-2717/adler32/py/2M 854	1230.159 µs/op	# POLL·0 C1·28 C1E·2 C3·6 C6·247
Benchmarkz600-COMP-2717/adler32/py/2M 859	1215.740 µs/op	# POLL·0 C1·30 C1E·1 C3·20 C6·258
Benchmarkz600-COMP-2717/adler32/py/2M 856	1226.569 µs/op	# POLL·0 C1·34 C1E·1 C3·11 C6·251
Benchmarkz600-COMP-2717/adler32/py/2M 855	1227.333 µs/op	# POLL·2 C1·26 C1E·1 C3·11 C6·291
Benchmarkz600-COMP-2717/adler32/py/2M 856	1226.339 µs/op	# POLL·0 C1·37 C1E·0 C3·15 C6·247
Benchmarkz600-COMP-2717/adler32/go/2M 1000	1622.062 µs/op	# POLL·2 C1·106 C1E·123 C3·39 C6·464
Benchmarkz600-COMP-2717/adler32/go/2M 1000	1628.896 µs/op	# POLL·1 C1·91 C1E·129 C3·47 C6·473
Benchmarkz600-COMP-2717/adler32/go/2M 1000	1620.632 µs/op	# POLL·2 C1·78 C1E·97 C3·79 C6·512
Benchmarkz600-COMP-2717/adler32/go/2M 1000	1620.690 µs/op	# POLL·1 C1·42 C1E·128 C3·64 C6·409
Benchmarkz600-COMP-2717/adler32/go/2M 1000	1620.317 µs/op	# POLL·1 C1·64 C1E·130 C3·79 C6·504
Benchmarkz600-COMP-2717/crc32/py/1K 627437	1.776 µs/op	# POLL·2 C1·35 C1E·4 C3·12 C6·337
Benchmarkz600-COMP-2717/crc32/py/1K 642921	1.692 µs/op	# POLL·0 C1·17 C1E·1 C3·19 C6·290
Benchmarkz600-COMP-2717/crc32/py/1K 638276	1.717 µs/op	# POLL·0 C1·14 C1E·1 C3·16 C6·328
Benchmarkz600-COMP-2717/crc32/py/1K 638781	1.713 µs/op	# POLL·0 C1·34 C1E·1 C3·23 C6·363
Benchmarkz600-COMP-2717/crc32/py/1K 626614	1.770 µs/op	# POLL·0 C1·25 C1E·0 C3·23 C6·299
Benchmarkz600-COMP-2717/crc32/go/1K 3000000	0.458 µs/op	# POLL·2 C1·50 C1E·134 C3·75 C6·519
Benchmarkz600-COMP-2717/crc32/go/1K 3000000	0.459 µs/op	# POLL·1 C1·93 C1E·106 C3·103 C6·639
Benchmarkz600-COMP-2717/crc32/go/1K 3000000	0.458 µs/op	# POLL·3 C1·52 C1E·183 C3·114 C6·612
Benchmarkz600-COMP-2717/crc32/go/1K 3000000	0.458 µs/op	# POLL·3 C1·79 C1E·97 C3·81 C6·520
Benchmarkz600-COMP-2717/crc32/go/1K 3000000	0.458 µs/op	# POLL·2 C1·76 C1E·170 C3·95 C6·503
Benchmarkz600-COMP-2717/crc32/py/4K 198077	5.106 µs/op	# POLL·0 C1·33 C1E·6 C3·7 C6·275
Benchmarkz600-COMP-2717/crc32/py/4K 196717	5.142 µs/op	# POLL·0 C1·21 C1E·0 C3·17 C6·305
Benchmarkz600-COMP-2717/crc32/py/4K 197602	5.121 µs/op	# POLL·2 C1·32 C1E·3 C3·12 C6·293
Benchmarkz600-COMP-2717/crc32/py/4K 197871	5.106 µs/op	# POLL·2 C1·14 C1E·2 C3·10 C6·277
Benchmarkz600-COMP-2717/crc32/py/4K 198075	5.099 µs/op	# POLL·0 C1·23 C1E·0 C3·15 C6·275
Benchmarkz600-COMP-2717/crc32/go/4K 1000000	1.723 µs/op	# POLL·0 C1·57 C1E·116 C3·99 C6·490
Benchmarkz600-COMP-2717/crc32/go/4K 1000000	1.723 µs/op	# POLL·4 C1·73 C1E·126 C3·76 C6·447
Benchmarkz600-COMP-2717/crc32/go/4K 1000000	1.722 µs/op	# POLL·3 C1·101 C1E·117 C3·54 C6·454
Benchmarkz600-COMP-2717/crc32/go/4K 1000000	1.722 µs/op	# POLL·6 C1·79 C1E·109 C3·73 C6·449
Benchmarkz600-COMP-2717/crc32/go/4K 1000000	1.722 µs/op	# POLL·3 C1·97 C1E·122 C3·98 C6·600
Benchmarkz600-COMP-2717/crc32/py/2M 420	2827.833 µs/op	# POLL·0 C1·43 C1E·6 C3·10 C6·278
Benchmarkz600-COMP-2717/crc32/py/2M 419	2833.569 µs/op	# POLL·0 C1·33 C1E·2 C3·11 C6·268
Benchmarkz600-COMP-2717/crc32/py/2M 419	2834.367 µs/op	# POLL·1 C1·31 C1E·0 C3·12 C6·274
Benchmarkz600-COMP-2717/crc32/py/2M 419	2833.936 µs/op	# POLL·0 C1·34 C1E·0 C3·13 C6·294
Benchmarkz600-COMP-2717/crc32/py/2M 419	2831.817 µs/op	# POLL·0 C1·27 C1E·1 C3·15 C6·282
Benchmarkz600-COMP-2717/crc32/go/2M 2000	864.346 µs/op	# POLL·1 C1·61 C1E·124 C3·55 C6·483
Benchmarkz600-COMP-2717/crc32/go/2M 2000	864.894 µs/op	# POLL·7 C1·55 C1E·123 C3·36 C6·501
Benchmarkz600-COMP-2717/crc32/go/2M 2000	864.995 µs/op	# POLL·1 C1·96 C1E·101 C3·51 C6·543
Benchmarkz600-COMP-2717/crc32/go/2M 2000	864.839 µs/op	# POLL·0 C1·74 C1E·122 C3·51 C6·539
Benchmarkz600-COMP-2717/crc32/go/2M 2000	864.984 µs/op	# POLL·1 C1·82 C1E·109 C3·53 C6·465
Benchmarkz600-COMP-2717/sha1/py/1K 417533	2.866 µs/op	# POLL·0 C1·10 C1E·5 C3·18 C6·222
Benchmarkz600-COMP-2717/sha1/py/1K 424703	2.771 µs/op	# POLL·0 C1·26 C1E·2 C3·17 C6·254
Benchmarkz600-COMP-2717/sha1/py/1K 420262	2.848 µs/op	# POLL·0 C1·29 C1E·1 C3·18 C6·283
Benchmarkz600-COMP-2717/sha1/py/1K 426522	2.749 µs/op	# POLL·0 C1·17 C1E·3 C3·20 C6·289
Benchmarkz600-COMP-2717/sha1/py/1K 425181	2.755 µs/op	# POLL·0 C1·24 C1E·1 C3·14 C6·310
Benchmarkz600-COMP-2717/sha1/go/1K 500000	2.596 µs/op	# POLL·0 C1·74 C1E·111 C3·86 C6·591
Benchmarkz600-COMP-2717/sha1/go/1K 500000	2.595 µs/op	# POLL·0 C1·88 C1E·109 C3·103 C6·509
Benchmarkz600-COMP-2717/sha1/go/1K 500000	2.595 µs/op	# POLL·1 C1·93 C1E·112 C3·80 C6·607
Benchmarkz600-COMP-2717/sha1/go/1K 500000	2.595 µs/op	# POLL·4 C1·130 C1E·98 C3·70 C6·452
Benchmarkz600-COMP-2717/sha1/go/1K 500000	2.594 µs/op	# POLL·1 C1·127 C1E·119 C3·69 C6·364
Benchmarkz600-COMP-2717/sha1/py/4K 117497	14.479 µs/op	# POLL·0 C1·7 C1E·0 C3·26 C6·403
Benchmarkz600-COMP-2717/sha1/py/4K 117394	14.512 µs/op	# POLL·0 C1·32 C1E·3 C3·19 C6·426
Benchmarkz600-COMP-2717/sha1/py/4K 116998	14.610 µs/op	# POLL·0 C1·24 C1E·0 C3·17 C6·365
Benchmarkz600-COMP-2717/sha1/py/4K 116493	14.737 µs/op	# POLL·0 C1·13 C1E·1 C3·21 C6·399
Benchmarkz600-COMP-2717/sha1/py/4K 116765	14.668 µs/op	# POLL·0 C1·27 C1E·1 C3·16 C6·290
Benchmarkz600-COMP-2717/sha1/go/4K 200000	10.323 µs/op	# POLL·0 C1·42 C1E·113 C3·71 C6·548
Benchmarkz600-COMP-2717/sha1/go/4K 200000	10.323 µs/op	# POLL·0 C1·53 C1E·126 C3·66 C6·540
Benchmarkz600-COMP-2717/sha1/go/4K 200000	10.323 µs/op	# POLL·0 C1·78 C1E·132 C3·84 C6·583
Benchmarkz600-COMP-2717/sha1/go/4K 200000	10.323 µs/op	# POLL·1 C1·83 C1E·112 C3·87 C6·566
Benchmarkz600-COMP-2717/sha1/go/4K 200000	10.323 µs/op	# POLL·1 C1·91 C1E·88 C3·64 C6·511
Benchmarkz600-COMP-2717/sha1/py/2M 237	5328.963 µs/op	# POLL·0 C1·24 C1E·1 C3·15 C6·275
Benchmarkz600-COMP-2717/sha1/py/2M 239	5236.696 µs/op	# POLL·0 C1·26 C1E·0 C3·11 C6·280
Benchmarkz600-COMP-2717/sha1/py/2M 237	5297.014 µs/op	# POLL·1 C1·25 C1E·1 C3·14 C6·283
Benchmarkz600-COMP-2717/sha1/py/2M 237	5327.366 µs/op	# POLL·0 C1·34 C1E·1 C3·20 C6·307
Benchmarkz600-COMP-2717/sha1/py/2M 237	5295.995 µs/op	# POLL·1 C1·36 C1E·2 C3·8 C6·266
Benchmarkz600-COMP-2717/sha1/go/2M 300	5294.790 µs/op	# POLL·0 C1·71 C1E·86 C3·77 C6·474
Benchmarkz600-COMP-2717/sha1/go/2M 300	5299.316 µs/op	# POLL·2 C1·72 C1E·75 C3·48 C6·582
Benchmarkz600-COMP-2717/sha1/go/2M 300	5299.624 µs/op	# POLL·0 C1·42 C1E·76 C3·51 C6·554
Benchmarkz600-COMP-2717/sha1/go/2M 300	5293.529 µs/op	# POLL·2 C1·41 C1E·87 C3·61 C6·635
Benchmarkz600-COMP-2717/sha1/go/2M 300	5294.401 µs/op	# POLL·0 C1·74 C1E·93 C3·61 C6·567
Benchmarkz600-COMP-2717/unzlib/py/null-1K 311255	4.103 µs/op	# POLL·1 C1·43 C1E·0 C3·8 C6·265
Benchmarkz600-COMP-2717/unzlib/py/null-1K 309124	4.182 µs/op	# POLL·0 C1·20 C1E·0 C3·12 C6·273
Benchmarkz600-COMP-2717/unzlib/py/null-1K 315686	4.021 µs/op	# POLL·0 C1·10 C1E·3 C3·13 C6·288
Benchmarkz600-COMP-2717/unzlib/py/null-1K 315859	4.011 µs/op	# POLL·0 C1·45 C1E·1 C3·14 C6·281
Benchmarkz600-COMP-2717/unzlib/py/null-1K 317828	3.943 µs/op	# POLL·0 C1·14 C1E·7 C3·39 C6·473
Benchmarkz600-COMP-2717/unzlib/go/null-1K 500000	3.513 µs/op	# POLL·3 C1·98 C1E·533 C3·185 C6·2883
Benchmarkz600-COMP-2717/unzlib/go/null-1K 500000	3.424 µs/op	# POLL·1 C1·91 C1E·489 C3·128 C6·2725
Benchmarkz600-COMP-2717/unzlib/go/null-1K 500000	3.558 µs/op	# POLL·1 C1·65 C1E·512 C3·152 C6·2685
Benchmarkz600-COMP-2717/unzlib/go/null-1K 500000	3.428 µs/op	# POLL·2 C1·59 C1E·435 C3·138 C6·2639
Benchmarkz600-COMP-2717/unzlib/go/null-1K 500000	3.526 µs/op	# POLL·0 C1·71 C1E·489 C3·129 C6·2745
Benchmarkz600-COMP-2717/unzlib/py/null-4K 80018	14.054 µs/op	# POLL·0 C1·35 C1E·2 C3·24 C6·446
Benchmarkz600-COMP-2717/unzlib/py/null-4K 80015	14.053 µs/op	# POLL·0 C1·24 C1E·1 C3·22 C6·403
Benchmarkz600-COMP-2717/unzlib/py/null-4K 80117	14.042 µs/op	# POLL·0 C1·19 C1E·3 C3·20 C6·414
Benchmarkz600-COMP-2717/unzlib/py/null-4K 79813	12.558 µs/op	# POLL·1 C1·13 C1E·1 C3·24 C6·329
Benchmarkz600-COMP-2717/unzlib/py/null-4K 79204	12.740 µs/op	# POLL·0 C1·22 C1E·1 C3·23 C6·332
Benchmarkz600-COMP-2717/unzlib/go/null-4K 100000	13.767 µs/op	# POLL·1 C1·50 C1E·363 C3·103 C6·2411
Benchmarkz600-COMP-2717/unzlib/go/null-4K 100000	13.839 µs/op	# POLL·3 C1·67 C1E·527 C3·130 C6·2337
Benchmarkz600-COMP-2717/unzlib/go/null-4K 100000	13.743 µs/op	# POLL·2 C1·69 C1E·404 C3·109 C6·2442
Benchmarkz600-COMP-2717/unzlib/go/null-4K 100000	13.718 µs/op	# POLL·3 C1·106 C1E·499 C3·121 C6·2452
Benchmarkz600-COMP-2717/unzlib/go/null-4K 100000	13.764 µs/op	# POLL·2 C1·107 C1E·326 C3·83 C6·2391
Benchmarkz600-COMP-2717/unzlib/py/null-2M 159	6433.957 µs/op	# POLL·2 C1·37 C1E·2 C3·21 C6·249
Benchmarkz600-COMP-2717/unzlib/py/null-2M 160	6435.064 µs/op	# POLL·0 C1·51 C1E·3 C3·6 C6·240
Benchmarkz600-COMP-2717/unzlib/py/null-2M 160	6434.610 µs/op	# POLL·2 C1·34 C1E·3 C3·8 C6·256
Benchmarkz600-COMP-2717/unzlib/py/null-2M 159	6449.717 µs/op	# POLL·1 C1·20 C1E·0 C3·21 C6·235
Benchmarkz600-COMP-2717/unzlib/py/null-2M 158	6497.484 µs/op	# POLL·0 C1·9 C1E·2 C3·15 C6·241
Benchmarkz600-COMP-2717/unzlib/go/null-2M 300	5494.906 µs/op	# POLL·53 C1·497 C1E·6236 C3·412 C6·4047
Benchmarkz600-COMP-2717/unzlib/go/null-2M 300	5490.580 µs/op	# POLL·36 C1·440 C1E·6446 C3·346 C6·4082
Benchmarkz600-COMP-2717/unzlib/go/null-2M 300	5496.714 µs/op	# POLL·52 C1·471 C1E·6281 C3·383 C6·4064
Benchmarkz600-COMP-2717/unzlib/go/null-2M 300	5488.164 µs/op	# POLL·34 C1·366 C1E·6463 C3·317 C6·4108
Benchmarkz600-COMP-2717/unzlib/go/null-2M 300	5479.806 µs/op	# POLL·65 C1·511 C1E·6392 C3·372 C6·4020
Benchmarkz600-COMP-2717/unzlib/py/wczdata 33281	36.192 µs/op	# POLL·0 C1·27 C1E·1 C3·13 C6·300
Benchmarkz600-COMP-2717/unzlib/py/wczdata 33318	36.120 µs/op	# POLL·2 C1·36 C1E·0 C3·11 C6·259
Benchmarkz600-COMP-2717/unzlib/py/wczdata 33359	36.064 µs/op	# POLL·0 C1·16 C1E·1 C3·20 C6·272
Benchmarkz600-COMP-2717/unzlib/py/wczdata 33078	36.530 µs/op	# POLL·0 C1·34 C1E·0 C3·8 C6·276
Benchmarkz600-COMP-2717/unzlib/py/wczdata 33301	36.044 µs/op	# POLL·0 C1·14 C1E·1 C3·16 C6·296
Benchmarkz600-COMP-2717/unzlib/go/wczdata 50000	31.294 µs/op	# POLL·2 C1·133 C1E·320 C3·100 C6·1661
Benchmarkz600-COMP-2717/unzlib/go/wczdata 50000	31.377 µs/op	# POLL·2 C1·67 C1E·529 C3·104 C6·1719
Benchmarkz600-COMP-2717/unzlib/go/wczdata 50000	31.556 µs/op	# POLL·1 C1·79 C1E·355 C3·123 C6·1726
Benchmarkz600-COMP-2717/unzlib/go/wczdata 50000	31.461 µs/op	# POLL·1 C1·79 C1E·359 C3·95 C6·1718
Benchmarkz600-COMP-2717/unzlib/go/wczdata 50000	31.399 µs/op	# POLL·1 C1·87 C1E·311 C3·132 C6·1805
Benchmarkz600-COMP-2717/unzlib/py/prod1-avg 104047	18.380 µs/op	# POLL·0 C1·14 C1E·3 C3·16 C6·396
Benchmarkz600-COMP-2717/unzlib/py/prod1-avg 104387	18.204 µs/op	# POLL·0 C1·25 C1E·4 C3·16 C6·414
Benchmarkz600-COMP-2717/unzlib/py/prod1-avg 103786	18.436 µs/op	# POLL·0 C1·27 C1E·6 C3·30 C6·493
Benchmarkz600-COMP-2717/unzlib/py/prod1-avg 105122	18.091 µs/op	# POLL·0 C1·26 C1E·4 C3·19 C6·387
Benchmarkz600-COMP-2717/unzlib/py/prod1-avg 104574	18.316 µs/op	# POLL·0 C1·35 C1E·3 C3·20 C6·431
Benchmarkz600-COMP-2717/unzlib/go/prod1-avg 200000	9.855 µs/op	# POLL·3 C1·74 C1E·387 C3·111 C6·1853
Benchmarkz600-COMP-2717/unzlib/go/prod1-avg 200000	9.842 µs/op	# POLL·1 C1·105 C1E·435 C3·116 C6·1919
Benchmarkz600-COMP-2717/unzlib/go/prod1-avg 200000	9.978 µs/op	# POLL·2 C1·65 C1E·387 C3·117 C6·1915
Benchmarkz600-COMP-2717/unzlib/go/prod1-avg 200000	9.972 µs/op	# POLL·3 C1·112 C1E·466 C3·106 C6·1918
Benchmarkz600-COMP-2717/unzlib/go/prod1-avg 200000	10.021 µs/op	# POLL·7 C1·80 C1E·421 C3·111 C6·1892
Benchmarkz600-COMP-2717/unzlib/py/prod1-max 2510	475.451 µs/op	# POLL·0 C1·32 C1E·1 C3·7 C6·266
Benchmarkz600-COMP-2717/unzlib/py/prod1-max 2513	475.735 µs/op	# POLL·0 C1·15 C1E·1 C3·22 C6·288
Benchmarkz600-COMP-2717/unzlib/py/prod1-max 2510	475.640 µs/op	# POLL·0 C1·45 C1E·1 C3·15 C6·291
Benchmarkz600-COMP-2717/unzlib/py/prod1-max 2507	477.162 µs/op	# POLL·0 C1·26 C1E·1 C3·26 C6·378
Benchmarkz600-COMP-2717/unzlib/py/prod1-max 2510	476.167 µs/op	# POLL·0 C1·37 C1E·2 C3·22 C6·290
Benchmarkz600-COMP-2717/unzlib/go/prod1-max 3000	421.543 µs/op	# POLL·2 C1·55 C1E·229 C3·136 C6·1518
Benchmarkz600-COMP-2717/unzlib/go/prod1-max 3000	417.828 µs/op	# POLL·1 C1·123 C1E·239 C3·108 C6·1298
Benchmarkz600-COMP-2717/unzlib/go/prod1-max 3000	416.034 µs/op	# POLL·2 C1·65 C1E·277 C3·107 C6·1304
Benchmarkz600-COMP-2717/unzlib/go/prod1-max 3000	417.377 µs/op	# POLL·2 C1·70 C1E·255 C3·100 C6·1360
Benchmarkz600-COMP-2717/unzlib/go/prod1-max 3000	418.117 µs/op	# POLL·3 C1·91 C1E·199 C3·93 C6·1413

*** disk: random direct (no kernel cache) 4K-read latency

--- . (ext4 /dev/sda1) ioping statistics ---
14.1 k requests completed in 2.96 s, 55.2 MiB read, 4.77 k iops, 18.6 MiB/s
generated 14.1 k requests in 3.00 s, 55.3 MiB, 4.71 k iops, 18.4 MiB/s
min/avg/max/mdev = 103.3 us / 209.5 us / 1.88 ms / 56.2 us
Benchmarkz600-COMP-2717/disk/randread/direct/4K-min 1 103.3 us/op
Benchmarkz600-COMP-2717/disk/randread/direct/4K-avg 1 209.5 us/op
< 197.2 us	2578	| *********
< 270.2 us	10624	| *************************************
< 343.2 us	705	| **
< 416.2 us	53	| 
< 489.2 us	39	| 
< 562.2 us	24	| 
< 635.2 us	8	| 
< 708.2 us	3	| 
< 781.1 us	5	| 
< 854.1 us	2	| 
< 927.1 us	0	| 
< 1.00 ms	1	| 
< 1.07 ms	0	| 
< 1.15 ms	0	| 
< 1.22 ms	0	| 
< 1.29 ms	0	| 
< 1.37 ms	0	| 
< 1.44 ms	0	| 
< 1.51 ms	0	| 
< 1.58 ms	0	| 
< 1.66 ms	0	| 
<       +∞	2	| 
# POLL·475 C1·262942 C1E·101313 C3·3072 C6·1724

--- . (ext4 /dev/sda1) ioping statistics ---
14.7 k requests completed in 2.96 s, 57.4 MiB read, 4.96 k iops, 19.4 MiB/s
generated 14.7 k requests in 3.00 s, 57.4 MiB, 4.90 k iops, 19.1 MiB/s
min/avg/max/mdev = 76.7 us / 201.6 us / 602.8 us / 34.1 us
Benchmarkz600-COMP-2717/disk/randread/direct/4K-min 1 76.7 us/op
Benchmarkz600-COMP-2717/disk/randread/direct/4K-avg 1 201.6 us/op
< 113.4 us	106	| 
< 121.6 us	671	| **
< 129.7 us	252	| 
< 137.8 us	801	| **
< 145.9 us	201	| 
< 154.0 us	196	| 
< 162.1 us	15	| 
< 170.3 us	4	| 
< 178.4 us	28	| 
< 186.5 us	14	| 
< 194.6 us	181	| 
< 202.7 us	1135	| ***
< 210.8 us	4276	| **************
< 218.9 us	1733	| *****
< 227.1 us	3946	| *************
< 235.2 us	603	| **
< 243.3 us	27	| 
< 251.4 us	40	| 
< 259.5 us	146	| 
< 267.6 us	56	| 
< 275.8 us	120	| 
<       +∞	46	| 
# POLL·3 C1·1324 C1E·12936 C3·533 C6·393

--- . (ext4 /dev/sda1) ioping statistics ---
11.6 k requests completed in 2.96 s, 45.3 MiB read, 3.91 k iops, 15.3 MiB/s
generated 11.6 k requests in 3.00 s, 45.3 MiB, 3.86 k iops, 15.1 MiB/s
min/avg/max/mdev = 129.4 us / 255.7 us / 907.1 us / 43.8 us
Benchmarkz600-COMP-2717/disk/randread/direct/4K-min 1 129.4 us/op
Benchmarkz600-COMP-2717/disk/randread/direct/4K-avg 1 255.7 us/op
< 130.6 us	1	| 
< 138.7 us	15	| 
< 146.7 us	179	| 
< 154.7 us	105	| 
< 162.7 us	323	| *
< 170.7 us	118	| 
< 178.7 us	176	| 
< 186.8 us	147	| 
< 194.8 us	127	| 
< 202.8 us	103	| 
< 210.8 us	89	| 
< 218.8 us	121	| 
< 226.8 us	249	| *
< 234.9 us	1355	| *****
< 242.9 us	829	| ***
< 250.9 us	1643	| *******
< 258.9 us	642	| **
< 266.9 us	633	| **
< 274.9 us	720	| ***
< 283.0 us	444	| *
< 291.0 us	717	| ***
<       +∞	2754	| ***********
# POLL·1 C1·207 C1E·5618 C3·14188 C6·3492

--- . (ext4 /dev/sda1) ioping statistics ---
